#Columbus,OH weather file for 2009,,,,,
# data obtained from http://www.wunderground.com/history/airport/KCMH,,,,,,
$state_name=Ohio,,,,,,
$city_name=Columbus,,,,,,
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global,
02:11:15:51:00,64.9,0.48,10.4,18.47,9.73,17.88
02:11:16:42:00,60.8,0.536,12.7,9.58,5.05,9.28
02:11:16:51:00,60.1,0.54,15,7.8,4.11,7.55
02:11:16:58:00,59,0.536,13.8,6.36,3.35,6.16
02:11:17:18:00,57.2,0.536,10.4,2.05,1.08,1.98
02:11:17:26:00,57.2,0.536,12.7,0.23,0.12,0.22
02:11:17:32:00,57.2,0.536,36.8,0,0,0
02:11:17:35:00,53.6,0.518,36.8,0,0,0
02:11:17:38:00,50,0.464,36.8,0,0,0
02:11:17:41:00,51.8,0.482,31.1,0,0,0
02:11:17:44:00,51.8,0.482,31.1,0,0,0
02:11:17:51:00,53.1,0.489,27.6,0,0,0
02:11:18:51:00,53.1,0.43,23,0,0,0
02:11:18:57:00,53.6,0.446,39.1,0,0,0
02:11:19:02:00,51.8,0.446,23,0,0,0
02:11:19:14:00,51.8,0.41,19.6,0,0,0
02:11:19:51:00,50,0.39,13.8,0,0,0
02:11:20:51:00,52,0.39,17.3,0,0,0
02:11:21:51:00,50,0.421,43.7,0,0,0
02:11:21:58:00,48.2,0.392,29.9,0,0,0
02:11:22:05:00,48.2,0.392,40.3,0,0,0
02:11:22:41:00,48.2,0.374,44.9,0,0,0
02:11:22:51:00,48,0.379,39.1,0,0,0
02:11:23:51:00,46.9,0.37,35.7,0,0,0
02:12:00:51:00,43,0.34,33.4,0,0,0
02:12:01:51:00,42.1,0.32,36.8,0,0,0
02:12:02:51:00,39.9,0.3,36.8,0,0,0
02:12:03:51:00,39,0.309,31.1,0,0,0
02:12:04:51:00,37.9,0.3,27.6,0,0,0
02:12:05:51:00,39,0.309,29.9,0,0,0
02:12:06:51:00,39,0.3,19.6,0,0,0
02:12:07:51:00,37.9,0.3,21.9,0,0,0
02:12:09:41:00,39.2,0.284,24.2,40.52,16,31.38
02:12:09:51:00,41,0.28,26.5,43.32,17.11,33.55
02:12:10:51:00,42.1,0.261,26.5,35.47,17.43,32.96
02:12:11:51:00,45,0.261,21.9,80.48,28.25,62.33
02:12:12:51:00,46.9,0.261,31.1,66.22,26.15,51.28
02:12:13:51:00,48,0.241,35.7,23.35,13.66,24.11
02:12:14:51:00,46.9,0.241,34.5,19.69,11.52,20.33
02:12:15:51:00,46.9,0.23,29.9,36.95,14.59,28.61
02:12:16:51:00,48,0.23,23,9.75,4.79,9.06
02:12:17:51:00,46,0.23,19.6,0,0,0
02:12:18:51:00,43,0.241,10.4,0,0,0
02:12:19:51:00,43,0.241,12.7,0,0,0
02:12:20:51:00,39.9,0.25,8.1,0,0,0
02:12:21:51:00,39.9,0.261,8.1,0,0,0
02:12:22:51:00,36,0.261,5.8,0,0,0
02:12:23:51:00,37.9,0.27,9.2,0,0,0
02:13:00:51:00,36,0.27,8.1,0,0,0
02:13:01:51:00,36,0.27,11.5,0,0,0
02:13:02:51:00,34,0.23,8.1,0,0,0
02:13:03:51:00,30.9,0.241,6.9,0,0,0
02:13:04:51:00,30.9,0.25,8.1,0,0,0
02:13:05:51:00,30,0.241,5.8,0,0,0
02:13:06:51:00,30,0.241,8.1,0,0,0
02:13:07:51:00,30,0.23,8.1,0,0,0
02:13:08:51:00,33.1,0.25,6.9,30.03,10.54,23.25
02:13:09:51:00,35.1,0.241,8.1,27.01,13.27,25.1
02:13:10:51:00,37,0.241,6.9,35.4,17.4,32.9
02:13:11:51:00,39.9,0.241,6.9,64.32,25.4,49.81
02:13:12:51:00,39.9,0.219,6.9,41.4,20.35,38.47
02:13:13:51:00,41,0.23,5.8,39,19.17,36.24
02:13:14:51:00,43,0.23,8.1,33,16.22,30.67
02:13:15:51:00,43,0.23,8.1,23.41,11.5,21.75
02:13:16:51:00,43,0.23,6.9,16.35,6.46,12.66
02:13:17:51:00,42.1,0.219,0,0,0,0
02:13:18:51:00,39.9,0.23,3.5,0,0,0
02:13:19:51:00,37,0.23,3.5,0,0,0
02:13:20:51:00,36,0.23,3.5,0,0,0
02:13:21:51:00,34,0.23,6.9,0,0,0
02:13:22:51:00,35.1,0.241,5.8,0,0,0
02:13:23:51:00,34,0.241,10.4,0,0,0
02:14:00:51:00,34,0.241,6.9,0,0,0
02:14:01:51:00,33.1,0.23,8.1,0,0,0
02:14:02:51:00,33.1,0.23,9.2,0,0,0
02:14:03:51:00,33.1,0.219,8.1,0,0,0
02:14:04:51:00,33.1,0.23,9.2,0,0,0
02:14:05:51:00,33.1,0.23,5.8,0,0,0
02:14:06:51:00,34,0.23,5.8,0,0,0
02:14:07:51:00,33.1,0.241,6.9,0,0,0
02:14:08:51:00,33.1,0.241,4.6,12.16,9.6,11.77
02:14:09:51:00,34,0.25,6.9,21.69,11.42,20.99
02:14:10:51:00,35.1,0.261,6.9,28.36,22.4,27.45
02:14:12:51:00,35.1,0.28,9.2,33.12,26.16,32.06
02:14:13:51:00,37,0.289,9.2,31.21,24.65,30.22
02:14:14:39:00,37.4,0.284,12.7,27.63,21.82,26.75
02:14:14:51:00,37.9,0.289,10.4,26.45,20.89,25.6
02:14:15:51:00,37.9,0.289,10.4,18.83,14.87,18.23
02:14:16:51:00,37,0.289,11.5,8.35,6.59,8.08
02:14:17:51:00,36,0.289,10.4,0,0,0
02:14:18:34:00,35.6,0.284,11.5,0,0,0
02:14:18:51:00,35.1,0.289,9.2,0,0,0
02:14:19:51:00,35.1,0.289,8.1,0,0,0
02:14:20:02:00,35.6,0.284,8.1,0,0,0
02:14:20:34:00,33.8,0.284,8.1,0,0,0
02:14:20:51:00,34,0.27,9.2,0,0,0
02:14:21:51:00,34,0.27,4.6,0,0,0
02:14:22:09:00,33.8,0.284,5.8,0,0,0
02:14:22:41:00,33.8,0.266,12.7,0,0,0
02:14:22:51:00,33.1,0.261,11.5,0,0,0
02:14:23:10:00,33.8,0.266,10.4,0,0,0
02:14:23:51:00,33.1,0.261,8.1,0,0,0
02:15:00:51:00,33.1,0.241,8.1,0,0,0
02:15:01:51:00,33.1,0.23,5.8,0,0,0
02:15:02:51:00,32,0.241,8.1,0,0,0
02:15:03:51:00,32,0.241,8.1,0,0,0
02:15:04:51:00,30.9,0.23,9.2,0,0,0
02:15:05:51:00,30,0.23,9.2,0,0,0
02:15:06:34:00,28.4,0.212,4.6,0,0,0
02:15:06:51:00,28.9,0.21,4.6,0,0,0
02:15:07:51:00,28.9,0.21,6.9,0,0,0
02:15:08:51:00,30,0.23,8.1,24.31,9.6,18.83
02:15:09:18:00,30.2,0.23,8.1,12.6,7.37,13.01
02:15:09:51:00,30,0.23,9.2,21.69,17.13,20.99
02:15:10:51:00,32,0.219,5.8,28.36,22.4,27.45
02:15:11:48:00,33.8,0.212,8.1,32.04,25.31,31.02
02:15:11:51:00,33.1,0.219,8.1,32.17,25.41,31.14
02:15:12:51:00,34,0.19,5.8,33.12,26.16,32.06
02:15:13:51:00,36,0.18,6.9,31.21,24.65,30.22
02:15:14:51:00,34,0.171,9.2,26.45,20.89,25.6
02:15:15:51:00,34,0.171,9.2,18.83,14.87,18.23
02:15:16:51:00,34,0.171,9.2,8.35,6.59,8.08
02:15:17:51:00,33.1,0.171,6.9,0,0,0
02:15:18:51:00,32,0.18,9.2,0,0,0
02:15:19:51:00,30.9,0.19,8.1,0,0,0
02:15:20:51:00,30,0.21,5.8,0,0,0
02:15:21:51:00,30,0.21,5.8,0,0,0
02:15:22:51:00,28.9,0.199,4.6,0,0,0
02:15:23:51:00,28,0.199,8.1,0,0,0
02:16:00:51:00,27,0.199,4.6,0,0,0
02:16:01:51:00,27,0.21,5.8,0,0,0
02:16:02:51:00,27,0.199,8.1,0,0,0
02:16:03:51:00,26.1,0.18,6.9,0,0,0
02:16:04:51:00,25,0.171,5.8,0,0,0
02:16:05:51:00,26.1,0.18,6.9,0,0,0
02:16:06:51:00,25,0.171,6.9,0,0,0
02:16:07:51:00,25,0.171,5.8,0,0,0
02:16:08:51:00,27,0.19,9.2,9.2,5.38,9.5
02:16:09:51:00,28,0.18,6.9,43.42,17.15,33.62
02:16:10:51:00,30.9,0.151,11.5,56.67,22.38,43.89
02:16:11:51:00,33.1,0.14,11.5,64.28,25.39,49.78
02:16:12:51:00,33.1,0.14,9.2,24.85,14.54,25.66
02:16:13:51:00,34,0.151,9.2,23.47,13.73,24.24
02:16:14:51:00,33.1,0.151,9.2,19.98,11.69,20.63
02:16:15:51:00,34,0.129,5.8,14.38,8.41,14.85
02:16:16:51:00,33.1,0.151,8.1,6.66,3.9,6.88
02:16:17:51:00,32,0.16,6.9,0,0,0
02:16:18:51:00,30.9,0.151,3.5,0,0,0
02:16:19:51:00,30.9,0.151,0,0,0,0
02:16:20:51:00,27,0.16,0,0,0,0
02:16:21:51:00,26.1,0.171,0,0,0,0
02:16:22:51:00,25,0.16,0,0,0,0
02:16:23:51:00,23,0.16,0,0,0,0
02:17:00:51:00,21.9,0.16,0,0,0,0
02:17:01:51:00,21,0.171,3.5,0,0,0
02:17:02:51:00,21,0.16,0,0,0,0
02:17:03:51:00,21,0.16,0,0,0,0
02:17:04:51:00,23,0.151,0,0,0,0
02:17:05:51:00,21.9,0.151,4.6,0,0,0
02:17:06:51:00,21,0.151,3.5,0,0,0
02:17:07:51:00,23,0.16,5.8,0,0,0
02:17:08:51:00,26.1,0.18,4.6,9.2,5.38,9.5
02:17:09:51:00,28.9,0.199,8.1,16.28,9.53,16.81
02:17:10:51:00,33.1,0.171,17.3,21.25,12.43,21.94
02:17:11:51:00,36,0.16,11.5,24.11,14.1,24.89
02:17:12:51:00,37.9,0.16,12.7,82.82,29.07,64.14
02:17:13:51:00,39.9,0.14,10.4,23.47,13.73,24.24
02:17:14:51:00,42.1,0.129,11.5,19.98,11.69,20.63
02:17:15:51:00,44.1,0.12,13.8,14.38,8.41,14.85
02:17:16:51:00,43,0.109,10.4,6.66,3.9,6.88
02:17:17:51:00,42.1,0.109,9.2,0,0,0
02:17:18:51:00,41,0.12,9.2,0,0,0
02:17:19:51:00,41,0.12,9.2,0,0,0
02:17:20:51:00,39.9,0.151,6.9,0,0,0
02:17:21:51:00,39.9,0.21,8.1,0,0,0
02:17:22:51:00,39.9,0.199,10.4,0,0,0
02:17:23:51:00,41,0.171,11.5,0,0,0
02:18:00:51:00,42.1,0.16,12.7,0,0,0
02:18:01:51:00,42.1,0.19,10.4,0,0,0
02:18:02:51:00,41,0.261,12.7,0,0,0
02:18:03:51:00,42.1,0.28,11.5,0,0,0
02:18:04:40:00,42.8,0.302,16.1,0,0,0
02:18:04:51:00,41,0.32,15,0,0,0
02:18:05:51:00,39.9,0.331,13.8,0,0,0
02:18:06:51:00,39.9,0.351,10.4,0,0,0
02:18:07:24:00,39.2,0.356,8.1,0,0,0
02:18:07:51:00,39,0.36,8.1,0.23,0.12,0.22
02:18:08:29:00,39.2,0.356,9.2,8.27,4.35,8
02:18:08:51:00,39.9,0.37,6.9,12.41,6.53,12.01
02:18:09:34:00,41,0.374,10.4,19.41,10.22,18.79
02:18:09:46:00,41,0.392,9.2,21.11,11.12,20.44
02:18:09:51:00,42.1,0.39,10.4,21.79,11.47,21.09
02:18:10:13:00,42.8,0.392,10.4,24.53,12.91,23.74
02:18:10:41:00,44.6,0.428,17.3,27.47,14.46,26.59
02:18:10:51:00,45,0.421,16.1,28.37,14.94,27.46
02:18:11:29:00,44.6,0.428,15,31.09,16.37,30.09
02:18:11:51:00,46,0.43,17.3,32.15,25.39,31.12
02:18:12:51:00,46.9,0.441,15,33.13,26.17,32.07
02:18:13:51:00,50,0.46,13.8,31.31,24.73,30.31
02:18:14:45:00,53.6,0.464,12.7,27.28,21.54,26.4
02:18:14:51:00,53.1,0.469,13.8,26.69,21.08,25.84
02:18:15:11:00,53.6,0.464,13.8,24.53,19.37,23.74
02:18:15:51:00,55,0.46,15,19.27,15.22,18.65
02:18:16:35:00,51.8,0.464,31.1,12.05,6.34,9.33
02:18:16:51:00,51.1,0.46,27.6,9.05,4.76,8.76
02:18:17:51:00,48.9,0.41,21.9,0,0,0
02:18:18:00:00,48.2,0.392,26.5,0,0,0
02:18:18:51:00,46,0.379,16.1,0,0,0
02:18:19:51:00,45,0.37,16.1,0,0,0
02:18:20:51:00,39.9,0.34,24.2,0,0,0
02:18:21:44:00,39.2,0.356,17.3,0,0,0
02:18:21:51:00,37.9,0.36,17.3,0,0,0
02:18:22:43:00,37.4,0.356,9.2,0,0,0
02:18:22:51:00,37.9,0.36,12.7,0,0,0
02:18:23:12:00,37.4,0.356,12.7,0,0,0
02:18:23:40:00,37.4,0.356,16.1,0,0,0
02:18:23:51:00,37,0.32,17.3,0,0,0
02:19:00:02:00,37.4,0.302,15,0,0,0
02:19:00:40:00,37.4,0.302,17.3,0,0,0
02:19:00:51:00,37,0.309,15,0,0,0
02:19:01:09:00,37.4,0.302,12.7,0,0,0
02:19:01:51:00,36,0.309,15,0,0,0
02:19:02:21:00,35.6,0.32,12.7,0,0,0
02:19:02:51:00,35.1,0.3,19.6,0,0,0
02:19:03:51:00,34,0.28,23,0,0,0
02:19:04:51:00,30.9,0.241,21.9,0,0,0
02:19:05:51:00,28,0.199,18.4,0,0,0
02:19:06:33:00,26.6,0.176,23,0,0,0
02:19:06:46:00,26.6,0.14,24.2,0,0,0
02:19:06:51:00,27,0.14,25.3,0,0,0
02:19:07:14:00,26.6,0.122,23,0,0,0
02:19:07:51:00,25,0.129,16.1,0.23,0.18,0.22
02:19:08:51:00,23,0.109,18.4,9.28,5.43,9.58
02:19:09:51:00,23,0.09,26.5,16.3,9.54,16.83
02:19:10:34:00,21.2,0.122,17.3,26.73,14.08,25.88
02:19:10:51:00,21.9,0.109,19.6,28.31,14.91,27.41
02:19:11:03:00,21.2,0.086,21.9,29.3,15.43,28.36
02:19:11:51:00,21.9,0.081,18.4,32.12,16.91,31.09
02:19:11:58:00,23,0.086,19.6,32.38,25.57,31.34
02:19:12:51:00,23,0.07,21.9,33.14,17.45,32.08
02:19:13:51:00,23,0.07,24.2,31.37,24.78,30.37
02:19:14:51:00,21.9,0.061,18.4,26.83,14.13,25.97
02:19:15:51:00,21.9,0.061,25.3,19.51,15.41,18.88
02:19:16:51:00,21,0.05,26.5,7.05,4.13,7.28
02:19:17:51:00,21,0.05,17.3,0,0,0
02:19:18:51:00,19.9,0.07,23,0,0,0
02:19:19:51:00,19.9,0.05,17.3,0,0,0
02:19:20:51:00,19,0.061,10.4,0,0,0
02:19:21:51:00,18,0.07,11.5,0,0,0
02:19:22:51:00,18,0.07,10.4,0,0,0
02:19:23:51:00,19,0.081,11.5,0,0,0
02:20:00:51:00,19.9,0.1,11.5,0,0,0
02:20:01:51:00,21,0.07,15,0,0,0
02:20:02:51:00,21,0.07,16.1,0,0,0
02:20:03:51:00,19.9,0.081,13.8,0,0,0
02:20:04:51:00,19,0.09,13.8,0,0,0
02:20:05:51:00,19,0.09,13.8,0,0,0
02:20:06:51:00,19,0.1,12.7,0,0,0
02:20:07:51:00,19,0.1,12.7,0.56,0.28,0.52
02:20:08:51:00,19.9,0.1,15,15.64,7.69,14.53
02:20:09:51:00,21.9,0.1,13.8,16.36,9.57,16.89
02:20:10:17:00,23,0.086,10.4,18.74,10.96,19.35
02:20:10:51:00,24.1,0.081,8.1,21.26,12.44,21.95
02:20:11:51:00,26.1,0.09,12.7,24.09,14.09,24.88
02:20:12:51:00,28.9,0.09,13.8,24.85,14.54,25.66
02:20:13:51:00,28,0.09,12.7,23.54,13.77,24.31
02:20:14:51:00,30,0.09,15,26.87,21.23,26.02
02:20:15:51:00,30,0.1,10.4,14.7,8.6,15.18
02:20:16:51:00,30,0.1,15,7.17,4.2,7.41
02:20:17:51:00,28.9,0.09,12.7,0,0,0
02:20:18:51:00,28,0.1,6.9,0,0,0
02:20:19:51:00,26.1,0.1,8.1,0,0,0
02:20:20:51:00,25,0.109,4.6,0,0,0
02:20:21:51:00,26.1,0.109,0,0,0,0
02:20:22:51:00,25,0.109,0,0,0,0
02:20:23:51:00,21,0.12,0,0,0,0
02:21:00:51:00,19.9,0.129,0,0,0,0
02:21:01:51:00,19.9,0.129,0,0,0,0
02:21:02:51:00,18,0.12,0,0,0,0
02:21:03:51:00,17.1,0.12,4.6,0,0,0
02:21:04:51:00,19.9,0.109,6.9,0,0,0
02:21:05:51:00,21,0.109,4.6,0,0,0
02:21:06:51:00,24.1,0.129,6.9,0,0,0
02:21:07:51:00,26.1,0.129,10.4,0.45,0.36,0.44
02:21:08:51:00,28,0.14,9.2,12.51,9.88,12.11
02:21:09:51:00,32,0.14,13.8,16.36,9.57,16.89
02:21:10:51:00,37,0.16,12.7,28.35,22.39,27.44
02:21:11:51:00,39,0.16,12.7,32.12,25.37,31.1
02:21:12:51:00,39.9,0.171,13.8,33.14,26.17,32.08
02:21:13:51:00,43,0.18,17.3,31.39,24.79,30.38
02:21:14:51:00,46,0.199,10.4,26.87,21.23,26.02
02:21:15:51:00,46.9,0.25,33.4,19.6,15.48,18.97
02:21:16:37:00,39.2,0.338,20.7,12.15,6.4,11.77
02:21:16:51:00,39,0.34,18.4,9.56,5.04,9.26
02:21:17:15:00,37.4,0.338,17.3,4.78,2.52,4.62
02:21:17:44:00,35.6,0.338,16.1,0,0,0
02:21:17:51:00,36,0.32,16.1,0,0,0
02:21:17:58:00,35.6,0.32,15,0,0,0
02:21:18:51:00,34,0.3,15,0,0,0
02:21:19:01:00,33.8,0.302,16.1,0,0,0
02:21:19:40:00,33.8,0.284,15,0,0,0
02:21:19:51:00,33.1,0.289,21.9,0,0,0
02:21:20:05:00,32,0.266,16.1,0,0,0
02:21:20:40:00,30.2,0.212,19.6,0,0,0
02:21:20:51:00,28.9,0.199,20.7,0,0,0
02:21:21:51:00,27,0.18,19.6,0,0,0
02:21:22:26:00,26.6,0.176,13.8,0,0,0
02:21:22:51:00,27,0.18,16.1,0,0,0
02:21:23:39:00,26.6,0.158,18.4,0,0,0
02:21:23:51:00,26.1,0.151,13.8,0,0,0
02:22:00:51:00,25,0.16,19.6,0,0,0
02:22:01:48:00,24.8,0.158,18.4,0,0,0
02:22:01:51:00,24.1,0.151,15,0,0,0
02:22:02:15:00,24.8,0.158,15,0,0,0
02:22:02:51:00,25,0.151,10.4,0,0,0
02:22:03:51:00,25,0.16,15,0,0,0
02:22:04:51:00,24.1,0.16,15,0,0,0
02:22:05:30:00,23,0.14,12.7,0,0,0
02:22:05:46:00,24.8,0.158,13.8,0,0,0
02:22:05:51:00,24.1,0.151,16.1,0,0,0
02:22:06:51:00,23,0.14,15,0,0,0
02:22:07:45:00,21.2,0.122,17.3,0,0,0
02:22:07:51:00,21.9,0.129,20.7,1.34,0.53,1.04
02:22:07:58:00,21.2,0.122,17.3,1.65,0.97,1.71
02:22:08:11:00,21.2,0.122,17.3,3.71,2.17,3.84
02:22:08:46:00,23,0.158,13.8,8.79,5.14,9.08
02:22:08:51:00,23,0.151,15,12.61,9.96,12.21
02:22:09:51:00,24.1,0.151,18.4,21.83,17.24,21.13
02:22:10:51:00,24.1,0.151,17.3,28.33,22.37,27.42
02:22:11:51:00,25,0.171,17.3,32.1,16.9,31.07
02:22:12:51:00,26.1,0.171,18.4,33.14,17.45,32.08
02:22:13:51:00,28,0.171,20.7,31.46,16.57,30.46
02:22:14:51:00,27,0.18,15,27.06,14.25,26.19
02:22:14:55:00,26.6,0.194,18.4,26.67,14.04,25.81
02:22:15:03:00,26.6,0.176,15,25.85,13.61,25.02
02:22:15:51:00,28.9,0.18,17.3,19.93,10.49,19.29
02:22:16:51:00,27,0.18,19.6,10.07,5.3,9.75
02:22:17:51:00,26.1,0.171,16.1,0,0,0
02:22:18:51:00,25,0.18,16.1,0,0,0
02:22:19:11:00,24.8,0.176,13.8,0,0,0
02:22:19:51:00,25,0.16,12.7,0,0,0
02:22:20:51:00,24.1,0.16,13.8,0,0,0
02:22:22:51:00,23,0.16,9.2,0,0,0
02:22:23:51:00,21.9,0.14,8.1,0,0,0
02:23:00:51:00,21,0.129,10.4,0,0,0
02:23:01:51:00,21,0.129,6.9,0,0,0
02:23:02:51:00,19.9,0.129,8.1,0,0,0
02:23:03:51:00,19.9,0.129,8.1,0,0,0
02:23:04:14:00,19.4,0.122,8.1,0,0,0
02:23:04:33:00,19.4,0.122,8.1,0,0,0
02:23:04:51:00,19,0.129,6.9,0,0,0
02:23:05:51:00,19,0.129,5.8,0,0,0
02:23:06:51:00,18,0.12,5.8,0,0,0
02:23:07:51:00,17.1,0.12,5.8,1.77,0.7,1.37
02:23:08:51:00,19.9,0.14,8.1,25.5,10.07,19.75
02:23:09:24:00,21.2,0.14,5.8,13.59,7.95,14.03
02:23:09:51:00,21.9,0.14,11.5,21.91,17.3,21.21
02:23:10:03:00,24.8,0.158,11.5,23.42,18.49,22.67
02:23:10:21:00,24.8,0.14,10.4,19.1,11.18,19.73
02:23:10:51:00,25,0.129,10.4,28.36,22.4,27.45
02:23:11:31:00,24.8,0.122,10.4,31.16,24.61,30.16
02:23:11:51:00,27,0.14,8.1,32.1,25.36,31.08
02:23:12:09:00,26.6,0.104,9.2,32.7,25.83,31.65
02:23:12:51:00,27,0.1,11.5,33.14,26.18,32.08
02:23:13:51:00,27,0.09,12.7,31.47,24.86,30.47
02:23:14:51:00,27,0.07,15,20.32,11.89,20.98
02:23:15:51:00,28,0.081,13.8,20.01,15.81,19.37
02:23:16:51:00,27,0.09,12.7,10.23,5.38,9.9
02:23:17:51:00,26.1,0.09,12.7,0,0,0
02:23:18:51:00,26.1,0.1,8.1,0,0,0
02:23:19:51:00,25,0.109,6.9,0,0,0
02:23:20:51:00,23,0.109,4.6,0,0,0
02:23:21:51:00,21.9,0.109,0,0,0,0
02:23:22:51:00,19.9,0.109,0,0,0,0
02:23:23:51:00,17.1,0.109,0,0,0,0
02:24:00:51:00,17.1,0.1,0,0,0,0
02:24:01:51:00,16,0.1,0,0,0,0
02:24:02:51:00,15.1,0.09,0,0,0,0
02:24:03:51:00,14,0.081,0,0,0,0
02:24:04:51:00,14,0.09,0,0,0,0
02:24:05:51:00,14,0.09,0,0,0,0
02:24:06:51:00,16,0.1,0,0,0,0
02:24:07:51:00,17.1,0.109,0,0.67,0.39,0.69
02:24:08:51:00,21,0.129,4.6,9.56,5.6,9.88
02:24:09:51:00,25,0.12,9.2,54.77,19.23,42.42
02:24:10:51:00,27,0.109,8.1,21.27,12.44,21.96
02:24:11:51:00,28.9,0.109,10.4,24.08,14.09,24.86
02:24:12:51:00,30.9,0.109,5.8,24.86,14.54,25.67
02:24:13:51:00,33.1,0.109,6.9,78.68,27.62,60.93
02:24:14:51:00,35.1,0.109,5.8,54.19,21.4,41.97
02:24:15:51:00,35.1,0.109,5.8,40.03,15.81,31
02:24:16:51:00,35.1,0.109,6.9,12.78,6.28,11.88
02:24:17:51:00,34,0.129,5.8,0,0,0
02:24:18:51:00,32,0.129,4.6,0,0,0
02:24:19:51:00,30,0.151,4.6,0,0,0
02:24:20:51:00,28.9,0.151,6.9,0,0,0
02:24:21:51:00,28.9,0.151,6.9,0,0,0
02:24:22:51:00,28,0.14,6.9,0,0,0
02:24:23:51:00,28,0.129,6.9,0,0,0
02:25:00:51:00,28,0.12,5.8,0,0,0
02:25:01:51:00,28,0.12,3.5,0,0,0
02:25:02:51:00,28,0.12,4.6,0,0,0
02:25:03:51:00,27,0.12,3.5,0,0,0
02:25:04:51:00,27,0.12,4.6,0,0,0
02:25:05:51:00,27,0.129,3.5,0,0,0
02:25:06:51:00,27,0.129,3.5,0,0,0
02:25:07:51:00,28,0.151,5.8,1.38,0.68,1.28
02:25:08:51:00,34,0.14,6.9,16.11,7.92,14.97
02:25:09:51:00,37.9,0.151,8.1,43.97,17.36,34.05
02:25:10:51:00,43,0.18,9.2,35.49,17.44,32.98
02:25:11:51:00,48.9,0.19,8.1,64.22,25.36,49.74
02:25:12:51:00,51.1,0.219,9.2,66.28,26.18,51.33
02:25:13:51:00,55,0.241,11.5,62.97,24.87,48.76
02:25:14:51:00,57,0.27,15,20.35,11.91,21.02
02:25:15:51:00,57,0.28,16.1,15.08,8.82,15.57
02:25:16:51:00,55.9,0.28,13.8,7.78,4.55,8.04
02:25:17:51:00,54,0.289,9.2,0,0,0
02:25:18:51:00,53.1,0.289,9.2,0,0,0
02:25:19:51:00,52,0.289,10.4,0,0,0
02:25:20:51:00,52,0.309,9.2,0,0,0
02:25:21:51:00,51.1,0.32,8.1,0,0,0
02:25:22:51:00,51.1,0.34,10.4,0,0,0
02:25:23:51:00,51.1,0.34,12.7,0,0,0
02:26:00:51:00,50,0.351,8.1,0,0,0
02:26:01:19:00,50,0.356,9.2,0,0,0
02:26:01:51:00,50,0.36,5.8,0,0,0
02:26:02:51:00,48.9,0.36,8.1,0,0,0
02:26:03:51:00,48.9,0.379,8.1,0,0,0
02:26:04:51:00,46.9,0.39,4.6,0,0,0
02:26:05:51:00,46.9,0.379,4.6,0,0,0
02:26:06:51:00,46,0.379,4.6,0,0,0
02:26:07:51:00,46,0.379,3.5,1.31,1.04,1.27
02:26:08:51:00,46.9,0.41,4.6,16.23,11.4,15.08
02:26:09:51:00,46.9,0.421,5.8,27.51,19.31,25.56
02:26:10:01:00,46.4,0.428,5.8,29.06,20.4,27.01
02:26:10:25:00,48.2,0.428,4.6,32.42,22.76,30.13
02:26:10:51:00,48,0.421,6.9,35.46,24.9,32.96
02:26:11:51:00,48.9,0.421,8.1,40.11,28.16,37.27
02:26:12:51:00,51.1,0.421,10.4,41.43,29.09,38.5
02:26:13:51:00,52,0.421,9.2,31.56,24.92,30.55
02:26:14:29:00,53.6,0.428,10.4,29.17,23.04,28.24
02:26:14:51:00,53.1,0.43,12.7,34.14,23.97,31.73
02:26:15:51:00,53.1,0.43,9.2,20.41,10.75,19.76
02:26:16:51:00,51.1,0.45,6.9,10.86,5.72,10.52
02:26:17:33:00,50,0.446,8.1,2.6,1.37,2.52
02:26:17:51:00,50,0.45,9.2,0,0,0
02:26:17:58:00,50,0.446,11.5,0,0,0
02:26:18:23:00,50,0.446,11.5,0,0,0
02:26:18:51:00,51.1,0.45,12.7,0,0,0
02:26:19:51:00,50,0.45,10.4,0,0,0
02:26:20:51:00,51.1,0.45,13.8,0,0,0
02:26:21:51:00,53.1,0.45,12.7,0,0,0
02:26:22:51:00,53.1,0.45,11.5,0,0,0
02:26:23:51:00,55,0.45,16.1,0,0,0
02:27:00:51:00,55.9,0.45,17.3,0,0,0
02:27:01:51:00,55,0.469,18.4,0,0,0
02:27:02:51:00,54,0.469,17.3,0,0,0
02:27:03:51:00,53.1,0.48,12.7,0,0,0
02:27:04:51:00,53.1,0.489,9.2,0,0,0
02:27:05:51:00,54,0.5,23,0,0,0
02:27:06:51:00,53.1,0.489,23,0,0,0
02:27:07:51:00,52,0.48,11.5,1.31,0.69,1.27
02:27:08:51:00,52,0.48,16.1,12.99,10.26,12.57
02:27:09:33:00,51.8,0.482,17.3,19.58,10.31,18.95
02:27:09:51:00,53.1,0.489,18.4,22,11.59,21.3
02:27:10:51:00,46,0.421,24.2,28.37,22.41,27.46
02:27:11:39:00,46.4,0.41,17.3,31.56,24.92,30.55
02:27:11:51:00,45,0.39,19.6,32.09,25.34,31.06
02:27:12:51:00,44.1,0.37,19.6,33.15,26.18,32.09
02:27:13:51:00,39.9,0.351,17.3,23.67,13.85,24.44
02:27:14:09:00,39.2,0.338,15,30.56,24.14,29.58
02:27:14:51:00,37.9,0.32,15,27.31,21.57,26.44
02:27:15:36:00,37.4,0.302,17.3,22.39,17.68,21.67
02:27:15:51:00,37,0.309,12.7,20.41,16.12,19.76
