ID #	Area	Main Heating System	Second Heating System - 1	Second Heating System - 2	Winter Tstat Setting - Daytime	Winter Tstat Setting - Nighttime	Home's Winter Temp	Programmable Tstat	Month Start Heating	Month Stop Heating	# of Tstats	Tstat Location	AC System	Summer AC Use	Summer Tstat Setting - Daytime	Summer Tstat Setting - Nighttime	Home's summer temp	Sq footage	Yr built	Refrigerator	Freezer	Clothes washer	Clothes dryer	Dishwasher	Stove/range	Microwave	PC	Large screen TV	Reg TV	Hot tub/spa	Swimming pool	Change Time Use of Diswasher	Change Time Use of Stove/range	Change Time Use of Microwave	Change Time Use of PC	Change Time Use of Lg screen TV	Change Time Use of Reg TV	Change Time Use of Hot tub/spa	Loads laundry per week	Temp setting for closther washer	Time laundry is done	Change laundry schedule	Showers/baths per week	Low-flow shower head	Change shower time	Water heater	Water heater timer	Amt of hot water	Water heater set	# of water heaters	Location of water heater	# of People Age 0 - 11	# of People Age 12 - 18	# of People Age 18 - 25	# of People Age 26 - 35	# of People Age 36 - 45	# of People Age 46 - 55	# of People Age 55 - 65	# of People Age 66 or Older	Income	Responsible Occupant - Gender	Responsible Occupant - Age	Responsible Occupant - Education	Responsible Occupant - Internet comfort level	
587	P	Electric heat pump, central forced air	Woodstove or fireplace		70	66	too cool	Yes	October	May	1	Dining Room- middle of house	Heat pump	Occasionally	68	68	Just right	1,000 – 1,499 sq. ft.	1950s	2		1	1	1	1	1	2	0	1	1	0	Yes	Not sure	Not sure	Yes	Not applicable	Not sure	Yes	4 to 6 	Cold / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	2	House and Garage			2			2			$60,000 to $79,999	Male	46 to 55	Graduated college	Very comfortable	
588	P	Electric heat pump, central forced air	Woodstove or fireplace		65	60	just right	Yes	October	April	More than 2	Foyer, Bedroom, Bath	None	Don't have one	off	off	Just right	1,500 – 1,999 sq. ft.	1970-1978	1	1	1	1	1	3	1	2	0	1	0	0	Yes	Yes	Yes	Yes	Blank	Yes	Blank	1 to 3	Warm / Cold	At the same time of day	Yes	6 to 10	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Bedroom and 3 Closet						1	1		$40,000 to $59,999	Male	46 to 55	Graduated college	Very comfortable	
592	P	Electric, central forced air	Electric baseboard	Woodstove or fireplace	67	66	too cool	Yes	September	May	1	Main floor, Living Room	None	Don't have one	off	off	Just right	1,500 – 1,999 sq. ft.	Before 1950	2	0	1	1	1	1	1	2	0	2	0	0	Yes	Not sure	Not sure	Not sure	Not applicable	Yes	Not applicable	1 to 3	Warm / Hot	At various times	Yes	16 to 20	Not sure	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement			1		2				$40,000 to $59,999	Female	36 to 45	Graduated college	Very comfortable	
594	P	Electric, central forced air	Woodstove or fireplace		68	55	just right	No	October	May	1	Main floor living room	None	Don't have one	50	50	Just right	2,000 – 2,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	2	1	3	0	0	Yes	No	Yes	No	No	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement						1		1	$60,000 to $79,999	Female	46 to 55	Graduate college/professional school	Very comfortable	
596	P	Electric heat pump, central forced air	None		68	65	just right	Yes	October	June	1	Main floor living room	Heat pump	Occasionally	68	65	Just right	2,500 – 2,999 sq. ft.	Before 1950	1	1	1	1	1	1	1	1	1	4	0	0	Yes	Blank	Blank	Yes	Blank	Blank	Blank	10 or more	Warm / Cold	At various times	Yes	20 or more	No	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement		2				2			$100,000 or more	Male	46 to 55	Graduated college	Very comfortable	
599	P	Electric heat pump, central forced air	Woodstove or fireplace		70	65	just right	Yes	September	April	1	Main floor living room	Heat pump	Occasionally	78	78	Just right	2,000 – 2,499 sq. ft.	1960s	x	x	x	x	x	x	x	x		x			Yes	Not sure	No	Not sure	Blank	Not sure	Blank	1 to 3	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement						2			$80,000 to $99,999	Female	46 to 55	Graduated college	Very comfortable	
600	P	Electric baseboard	Woodstove or fireplace		69	60	Blank	No	October	April	1	Living Room	None	Don't have one	60	60	Too cool	Less than 1000 sq. ft.	Before 1950	2	1	1	1	1	1	1	1		1			Not sure	Not sure	Not sure	Not sure		Not sure		4 to 6 	Warm / Cold	At various times	Not sure	11 to 15	Not sure	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry Room						2			$20,000 to $39,999	Male	46 to 55	Some college	Very comfortable	
602	P	Electric radiant heating	Electric baseboard	Woodstove or fireplace	64	64	just right	No	November	June	2	Main floor	None	Don't have one	64	64	Just right	2,500 – 2,999 sq. ft.	Before 1950	1	1	1	1	1	1	1	1		1			Yes	Yes	Yes	Yes	Blank	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	11 to 15	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	2	Main floor		1			2				$100,000 or more	Male	36 to 45	Graduate college/professional school	Very comfortable	
610	P	Electric heat pump, central forced air	Woodstove or fireplace		68	58	just right	Yes	October	May	1	Kitchen	Heat pump	Never	off	off	Just right	2,000 – 2,499 sq. ft.	Before 1950	1	1	1	1	1	1	1	1		2	1	0	Yes	Yes	Yes	No	Blank	Yes	No	1 to 3	Cold / Cold	At various times	Yes	6 to 10	Not sure	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement						1			$100,000 or more	Male	46 to 55	Graduate college/professional school	Very comfortable	
611	P	Electric, central forced air	Woodstove or fireplace		68	60	too cool	No	October	May	1	Main floor living room	None	Don't have one	off	off	Just right	1,500 – 1,999 sq. ft.	Before 1950	x	x	x	x		x	x	x		x			Blank	Yes	Not sure	Yes	Blank	No	Blank	1 to 3	Warm / Cold	At various times	Yes	6 to 10	No	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement							x		$20,000 to $39,999	Female	55 to 65	Some college	A little comfortable	
613	P	Electric, central forced air	None		70	0	just right	Not sure	November	Blank	1	Main floor hallway	Central forced air	Never	0	0	Just right	1,500 – 1,999 sq. ft.	2000s	1		1	1	1	1	1	1		2	1		Blank	Yes	Yes	Yes	Blank	Yes	Blank	1 to 3	Cold / Cold	At various times	Yes	6 to 10	No	Yes	Blank	No	Blank	To prevent scalding (about 120 F)	Blank	Laundry Room									$40,000 to $59,999	Female	55 to 65	Graduated college	Very comfortable	
617	P	Electric, central forced air	None		70	75	just right	Yes	October	April	1	Dining Room	None	Don't have one	70	70	Just right	1,000 – 1,499 sq. ft.	Before 1950	1	1	1	1	1	1	1	1	0	1	0	0	Yes	No	No	Not sure	Not sure	No	Not sure	1 to 3	Hot / Hot	At the same time of day	Yes	11 to 15	Not sure	No	Electric	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Basement									$20,000 to $39,999	Male	26 to 35	Some college	Very comfortable	
622	P	Electric baseboard	None		60	Blank	just right	Yes	October	April	1	Main floor hallway	None	Don't have one	60	60	Just right	1,000 – 1,499 sq. ft.	1970-1978	1	0	1	1	1	1	1	1	0	2	0	0	Yes	Yes	Yes	Yes	Not applicable	Yes	Not applicable	1 to 3	Warm / Cold	At various times	Yes	11 to 15	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement							1	1	$60,000 to $79,999	Male	66 or older	Graduate college/professional school	Very comfortable	
629	C	Electric heat pump, central forced air	Electric, central forced air		64	60	too cool	Yes	October	June	1	Main floor hallway	None	Never	64	60	Just right	2,000 – 2,499 sq. ft.	Before 1950	1	1	x	x	x	x	x	x		x			Yes	No	Yes	Yes	Blank	No	Blank	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	No	No	Electric	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Basement						2			$100,000 or more	Male	46 to 55	Graduate college/professional school	Very comfortable	
632	P	Electric heat pump, central forced air	Portable electric heater(s)	Woodstove or fireplace	66	56	too cool	Yes	November	April	1	Living Room	Heat pump	Occasionally	78	72	Too warm	2,000 – 2,499 sq. ft.	1978-1989	1	0	1	1	1	1	1	1	1	1	1	0	Yes	Not sure	Not sure	Yes	Not sure	Yes	Yes	1 to 3	Cold / Cold	At various times	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Closet of Bedroom						1		2	$40,000 to $59,999	Female	46 to 55	Graduate college/professional school	Very comfortable	
635	P	Electric heat pump, central forced air	None		62	68	just right	Yes	October	April	1	Main floor kitchen	Heat pump	Occasionally			Just right	2,000 – 2,499 sq. ft.	Before 1950	1		1	1	1	1	1	1		2			Blank	Yes	No	Yes	Blank	No	Blank	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement		1			1				$40,000 to $59,999	Male	36 to 45	Some college	Very comfortable	
636	P	Electric heat pump, central forced air	None		65	60	too cool	Yes	October	May	1	main floor hallway	Heat pump	Occasionally	65	60	Too warm	1,500 – 1,999 sq. ft.	Before 1950	x		x	x	x	x	x	x		x			Yes	Yes	Yes	No				1 to 3	Warm / Cold	At various times	Yes	6 to 10	No	No	Electric	No	Sometimes sufficient	To prevent scalding (about 120 F)	1	Basement						1			$20,000 to $39,999	Female	46 to 55	Graduated college	Very comfortable	
638	P	Electric heat pump, central forced air	Portable electric heater(s)		67	67	just right	Yes	October	May	1	Main floor living room	Heat pump	Routinely	70	70	Just right	2,000 – 2,499 sq. ft.	1950s	1		1	1	1	1	1	3		2			Yes	Yes	Yes	Not sure		Yes		7 to 9	Warm / Cold	At various times	Yes	16 to 20	Not sure	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement			1			1	1	1	$60,000 to $79,999	Female	46 to 55	Graduate college/professional school	Very comfortable	
642	P	Electric, central forced air	Portable electric heater(s)	Woodstove or fireplace	70	70	too warm	Yes	October	May	1	Living Room	None	Don't have one	70	70	Just right	1,500 – 1,999 sq. ft.	1950s	x	x	x	x	x	x	x	x		x			Yes	No	Yes	Not sure	Blank	Not sure	Blank	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement						2			$80,000 to $99,999	Female	46 to 55	Some college	Very comfortable	
643	P	Electric, central forced air	Portable electric heater(s)		69	65	too cool	No	January	December	2	Main Floor	None	Don't have one	65	69	Blank	2,500 – 2,999 sq. ft.	Before 1950	1	1	1	1	0	1	1	3	0	5	0	0	Blank	Yes	Yes	Yes	Blank	Yes	Blank	10 or more	Cold / Cold	At various times	Yes	20 or more	Yes	Not sure	Blank	Not sure	Blank	To prevent scalding (about 120 F)	Blank	Basement		3			2				$60,000 to $79,999	Female	36 to 45	Graduated college	Very comfortable	
644	P	Electric, central forced air	Woodstove or fireplace		70	60	just right	Yes	September	June	1	Dining Room- Main Floor	None	Never	70	60	Just right	1,500 – 1,999 sq. ft.	Before 1950	1	1	1	1	1	1	1	2	0	1	0	0	Yes	No	No	No		No		4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement							2		$100,000 or more	Male	55 to 65	Graduate college/professional school	Very comfortable	
652	P	Electric, central forced air	Woodstove or fireplace		68	62	too cool	Yes	October	June	1	Main floor- Dining Room	None	Don't have one	58	58	Just right	1,500 – 1,999 sq. ft.	Before 1950	1	1	1	1	1	1	1	1	0	1	0	0	Yes	Not sure	Yes	Not sure	Not applicable	Yes	Not sure	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Yes	Not sure	Electric	No	Usually sufficient	To wash hands comfortably (less than 120 F)	1	Hallway Closet				2					$60,000 to $79,999	Male	26 to 35	Graduated college	Very comfortable	
653	C	Electric, central forced air	Other		68	60	just right	No	October	June	1	Hallway	None	Don't have one	55	55	Just right	1,000 – 1,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	1	0	2	0	0	Yes	No	No	No	Blank	No	Blank	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	Yes	Yes	Electric	No	Usually sufficient	Blank	1	Master bath							2		$40,000 to $59,999	Male	55 to 65	Some college	Very comfortable	
661	P	Electric heat pump, central forced air	Electric, central forced air		68	60	too cool	Yes	October	May	1	Main 1st floor Hallway	Heat pump	Occasionally	68	60	Blank	3,000 – 3,499 sq. ft.	1970-1978	1	1	1	1	1	1	1	4	0	2	1	0	Yes	No	No	No	Blank	No	Yes	10 or more	Warm / Cold	At various times	Yes	16 to 20	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Bottom floor					2				$80,000 to $99,999	Female	36 to 45	Graduate college/professional school	Very comfortable	
666	P	Electric heat pump, central forced air	Electric baseboard	Woodstove or fireplace	67	64	just right	Yes	October	July	1	Main floor living room	Heat pump	Occasionally	78	65	Just right	2,500 – 2,999 sq. ft.	1950s	2	0	1	1	1	2	2	2	0	2	0	0	Yes	Yes	Yes	Not sure	Blank	No	Blank	1 to 3	Warm / Cold	At various times	Yes	6 to 10	No	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	lower level							1	2	$60,000 to $79,999	Male	66 or older	Graduate college/professional school	Very comfortable	
669	P	Electric, central forced air	None		62	off	just right	Yes	October	April	1	Living Room	None	Never	?	?	Just right	1,000 – 1,499 sq. ft.	2000s	x		x	x	x	x	x	x		x			Yes	Yes	No	No	Blank	Not sure	Blank	1 to 3	Warm / Cold	At various times	Yes	6 to 10	No	No	Electric	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	wall between br & bth		x			x				Don’t know	Female	36 to 45	Some college	Very comfortable	
671	P	Electric heat pump, central forced air	Electric, central forced air		72	65	just right	Yes	October	May	1	Dining Room	Heat pump	Occasionally	65	-	Just right	1,000 – 1,499 sq. ft.	Before 1950	1	1	1	1	1	1	1	1	1	1			Yes	Not sure	Not sure	Yes	Yes	Not sure	Blank	1 to 3	Warm / Cold	At various times	Yes	0 to 5	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Utility room				1				1	$20,000 to $39,999	Female	66 or older	Some college	A little comfortable	
685	C	Electric heat pump, central forced air	Woodstove or fireplace		69	60	just right	Yes	September	May	1	Hallway	Heat pump	Occasionally	75	75	Just right	1,500 – 1,999 sq. ft.	1978-1989	2	0	1	1	1	1	3	3	2	3	1	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	4 to 6 	Warm / Cold	At the same time of day	Yes	6 to 10	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	2	Garage; Closet							1	1	$100,000 or more	Male	66 or older	Graduated college	Very comfortable	
687	C	Electric heat pump, central forced air	None		69	64	just right	Yes	October	March	1	Main floor hallway	Heat pump	Occasionally	69	64	Just right	2,500 – 2,999 sq. ft.	2000s	2	1	1	1	1	1	1	2	1	4	0	0	Yes	Not sure	Yes	Yes	No	Yes	Yes	7 to 9	Cold / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage						1	1		$100,000 or more	Male	55 to 65	Some college	Very comfortable	
688	P	Electric heat pump, central forced air	Woodstove or fireplace		68	68	just right	Yes	October	june	1	main floor hallway	Heat pump	Never	68	61	Just right	More than 3,500 sq. ft.	1990s	1		1	1	1	1	1	1		1	1		Yes	No	No	No		No	Yes	1 to 3	Cold / Cold	At various times	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	To wash hands comfortably (less than 120 F)	1	2nd floor Utility Room							2		$100,000 or more	Male	55 to 65	Graduate college/professional school	Very comfortable	
690	C	Electric, central forced air	Woodstove or fireplace		65	55	too cool	Yes	October	April	1	Hallway	Central forced air	Occasionally	78	78	Too warm	2,000 – 2,499 sq. ft.	1990s	1	1	1	1	1	1	2	1	0	3	0	0	Yes	No	No	No	Blank	No		1 to 3	Warm / Hot	At various times	Yes	16 to 20	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage							1	1	$60,000 to $79,999	Female	66 or older	Graduated college	Very comfortable	
697	P	Electric, central forced air	None		65	72	just right	No	October	May	1	Main floor hallway	None	Don't have one	off	off	Just right	1,000 – 1,499 sq. ft.	1950s	x	x	x	x	x	x	x	x	x	x			Yes	Yes	No	Yes	Not sure	Yes	Blank	4 to 6 	Warm / Cold	At various times	Yes	20 or more	Not sure	Not sure	Electric	Not sure	Usually sufficient	To wash hands comfortably (less than 120 F)	1	Basement		1		2					$60,000 to $79,999	Male	26 to 35	Graduated college	Very comfortable	
699	C	Electric heat pump, central forced air	Woodstove or fireplace		70	65	just right	Yes	January	December	1	Front Room Main floor	Heat pump	Occasionally	70	65	Just right	1,000 – 1,499 sq. ft.	1970-1978	x		x	x	x	x	x	x	x	x	x		Yes	Yes	Yes	no	Blank	no	Yes	1 to 3	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	House; Main floor							1	1	$20,000 to $39,999	Male	66 or older	Trade or technical school	Very comfortable	
705	P	Electric, central forced air	Electric baseboard	Woodstove or fireplace	68	60	just right	No	October	April	1	Main floor hallway	None	Never	40	40	Just right	1,500 – 1,999 sq. ft.	Before 1950	x		x	x		x	x	x		x			Blank	Yes	Yes	No	Blank	No	Blank	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	No	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Kitchen						2			$80,000 to $99,999	Male	46 to 55	Graduated college	Very comfortable	
713	P	Electric radiant heating	Woodstove or fireplace		68	68	just right	No	October	May	2	Main floor Hallway	None	Don't have one	50	50	Just right	More than 3,500 sq. ft.	1950s	1	1	1	1	1	1	1	2		3	1		Yes	Yes	Yes	Yes	Not sure	Yes	No	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Not sure	No	Electric	Not sure	Usually sufficient	Blank	2	Basement							1	1	Refused	Female	66 or older	Graduate college/professional school	Very comfortable	
715	P	Electric heat pump, central forced air	Woodstove or fireplace		68	62	just right	Yes	November	April	1	Living Room	Heat pump	Occasionally	78	78	Just right	2,500 – 2,999 sq. ft.	1960s	1	1	1	1	1	1	1	1	0	1	1	0	Yes	Yes	Yes	No	Blank	Yes	Yes	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement								1	$20,000 to $39,999	Male	66 or older	Graduate college/professional school	Very comfortable	
727	C	Electric, central forced air	None		70	68	just right	Yes	November	April	1	Main floor Hallway	Heat pump	Occasionally	68	68	Just right	3,000 – 3,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x	x		Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage						2			$80,000 to $99,999	Blank	Blank	Blank	Blank	
730	C	Electric, central forced air	Woodstove or fireplace		Blank	Blank	just right	Yes	September	June	1	Dining Room/Main floor Hallway	None	Don't have one	Blank	blank	Just right	1,500 – 1,999 sq. ft.	1990s	1	1	1	1	1	1	1	1		2			Yes	No	No	No	Yes	No	Yes	1 to 3	Warm / Cold	At various times	Yes	16 to 20	Yes	No	Electric	Yes	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Family Room						2			$100,000 or more	Male	46 to 55	Some college	Very comfortable	
731	C	Electric heat pump, central forced air	Woodstove or fireplace		64	60	just right	Yes			1	Hallway	Heat pump	Occasionally	80	80	Just right	2,000 – 2,499 sq. ft.	1970-1978	2	1	1	1	1	1	1	1	0	1	1	0	Yes	Yes	Yes	Yes	Blank	Yes	Yes	4 to 6 	Warm / Cold	At various times	Yes	0 to 5	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Closet in Hallway							2		$60,000 to $79,999	Male	55 to 65	Graduated college	Very comfortable	
734	C	Electric heat pump, central forced air			68	62	just right	Not sure	November	June	1	Second Floor Hallway	Heat pump	Occasionally	72	Off	Just right	2,500 – 2,999 sq. ft.	1970-1978	x		x	x	x	x	x	x		x			Yes	No	No	No	Blank	No	Yes	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Not sure	No	Electric	Not sure	Usually sufficient	Blank	1	Laundry Room							1		$100,000 or more	Male	55 to 65	Graduate college/professional school	Very comfortable	
735	C	Electric, central forced air	None		50	50	too cool	Not sure	October	Blank	1	Main floor Hallway	None	Don't have one	50	Blank	Just right	1,000 – 1,499 sq. ft.	1970-1978	x		x	x	x	x	x	x		x			Yes	Not sure	Not sure	Yes	Not applicable	Not sure	Blank	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	Yes	Not sure	Electric	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Second floor Closet							1		Refused	Female	55 to 65	Some college	Very comfortable	
737	C	Electric heat pump, central forced air	Woodstove or fireplace		67	62	just right	No	September	July	1	Main floor Hallway	Heat pump	Never	62-65	62-65	Just right	2,000 – 2,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	1		1	1		Yes	Not sure	Yes	No	Blank	Not sure	Yes	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage								2	Refused	Female	66 or older	Graduated college	Very comfortable	
739	C	Electric heat pump, central forced air	Electric baseboard	Woodstove or fireplace	68	55	just right	Yes	October	May	1	Main floor Hallway	Heat pump	Occasionally	80	80	Too warm	2,000 – 2,499 sq. ft.	1990s	1	1	1	1	1	1	1	2		1	1		Yes	Not sure	Not sure	No		Not sure	Yes	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Not sure	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Utility room							1	1	$60,000 to $79,999	Female	55 to 65	Graduate college/professional school	Very comfortable	
742	C	Electric, central forced air	Portable electric heater(s)		72	68	just right	Yes	October	June	1	Living Room- Center of House	None	Don't have one	72	68	Too warm	1,500 – 1,999 sq. ft.	1990s	2	0	1	1	1	1	1	1	1	1	1	0	Yes	Yes	Yes	Not sure	Not sure	Not sure	Not sure	4 to 6 	Warm / Cold	At various times	Not sure	6 to 10	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room Closet					2				$60,000 to $79,999	Male	36 to 45	High school	Very comfortable	
744	C	Electric heat pump, central forced air	Woodstove or fireplace		70	65	too cool	Yes			1	Main floor hallway	Heat pump	Occasionally	70	65	Just right	2,000 – 2,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	2	1	1			Yes	Not sure	Not sure	Yes	Yes	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Not sure	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Front Hall Closet								2	$60,000 to $79,999	Male	66 or older	Graduate college/professional school	Very comfortable	
746	C	Electric heat pump, central forced air	Electric, central forced air		70	67	just right	Yes	October	May	1	Family Room	Heat pump	Occasionally	60	60	Just right	2,500 – 2,999 sq. ft.	1990s	1	1	1	1	1	1	1	2	0	2	0	0	Yes	No	No	No	Blank	No	Blank	7 to 9	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	2	Pantry/Bedroom Closet									$40,000 to $59,999	Male	66 or older	Graduate college/professional school	Very comfortable	
747	C	Electric, central forced air	Woodstove or fireplace		68	62	just right	Yes	January	December	1	Main Hallway	Heat pump	Occasionally	72	73	Just right	1,500 – 1,999 sq. ft.	1990s	2	1	1	1	1	1	1	1	1	2			Yes	Yes	Not sure	No	No	No	Blank	1 to 3	Cold / Cold	At various times	Yes	6 to 10	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage						2			$20,000 to $39,999	Male	55 to 65	Trade or technical school	Very comfortable	
752	P	Electric heat pump, central forced air	Other		65	68	just right	No	September	May	1	Dining Room	Heat pump	Occasionally	50	50	Just right	1,500 – 1,999 sq. ft.	1990s	x		x	x	x	x	x	x	x	x			Yes	Yes	Yes	Not sure	Blank	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Bottom floor						2			$80,000 to $99,999	Male	46 to 55	Some college	A little comfortable	
753	C	Electric heat pump, central forced air	None		70	65	just right	Yes	November	April	1	Living Room/Hallway	Heat pump	Occasionally	80	n/a	Just right	1,500 – 1,999 sq. ft.	1990s	1	1	1	1	1	1	2	2		2			Yes	Yes	Yes	Yes				4 to 6 	Cold / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room								2	$40,000 to $59,999	Male	66 or older	Graduate college/professional school	Very comfortable	
754	C	Electric heat pump, central forced air	Blank		72	65	just right	Yes	October	June	1	Main floor hallway	Heat pump	Occasionally	76	80	Just right	2,500 – 2,999 sq. ft.	2000s	x	x	x	x	x	x	x	x		x	x		Yes	No	no	no	Blank	Not sure	Not sure	7 to 9	Warm / Cold	At various times	Yes	20 or more	Not sure	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		1				1	1		$60,000 to $79,999	Male	55 to 65	Graduate college/professional school	Very comfortable	
755	C	Electric heat pump, central forced air	None		70	68	just right	Yes	October	May	1	Main floor hallway	Heat pump	Occasionally	blank	blank	Just right	1,000 – 1,499 sq. ft.	1960s	1	1	1	1	1	1	1	1	1	1			Yes	Yes	Yes	Yes	Yes	Yes	Yes	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry Room							2		$40,000 to $59,999	Male	55 to 65	Graduated college	Very comfortable	
756	C	Electric heat pump, central forced air	Woodstove or fireplace		72	70	just right	Yes	October	April	1	Family Room	Heat pump	Occasionally	74	74	Just right	1,500 – 1,999 sq. ft.	1990s	x	x	x	x	x	x	x		x				Yes	No	no	no	Yes	No	Blank	1 to 3	Warm / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Closet								2	$100,000 or more	Male	66 or older	Graduate college/professional school	Very comfortable	
760	P	Electric, central forced air	Woodstove or fireplace	Other	64	66	too cool	no	October	May	1	Main floor hallway	None	Don't have one	off	off	Just right	1,500 – 1,999 sq. ft.	1950s	x	x	x	x	x	x	x	x		x			Yes	No	No	Not sure	Blank	No	Blank	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Yes	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement							1	1	$40,000 to $59,999	Female	55 to 65	Graduate college/professional school	Very comfortable	
761	P	Electric heat pump, central forced air	Electric, central forced air		71	55	just right	Yes	October	May	1	Living Room	Heat pump	Occasionally	71	55	Just right	1,000 – 1,499 sq. ft.	1990s	2	0	1	1	1	1	1	2	0	1	0	0	Yes	Not sure	Yes	Yes	Blank	No	Blank	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	2	Garage; Crawl Space								2	$40,000 to $59,999	Male	66 or older	High school	A little comfortable	
