ID #	Area	Main Heating System	Second Heating System - 1	Second Heating System - 2	Winter Tstat Setting - Daytime	Winter Tstat Setting - Nighttime	Home's Winter Temp	Programmable Tstat	Month Start Heating	Month Stop Heating	# of Tstats	Tstat Location	AC System	Summer AC Use	Summer Tstat Setting - Daytime	Summer Tstat Setting - Nighttime	Home's summer temp	Sq footage	Yr built	Refrigerator	Freezer	Clothes washer	Clothes dryer	Dishwasher	Stove/range	Microwave	PC	Large screen TV	Reg TV	Hot tub/spa	Swimming pool	Change Time Use of Diswasher	Change Time Use of Stove/range	Change Time Use of Microwave	Change Time Use of PC	Change Time Use of Lg screen TV	Change Time Use of Reg TV	Change Time Use of Hot tub/spa	Loads laundry per week	Temp setting for closther washer	Time laundry is done	Change laundry schedule	Showers/baths per week	Low-flow shower head	Change shower time	Water heater	Water heater timer	Amt of hot water	Water heater set	# of water heaters	Location of water heater	# of People Age 0 - 11	# of People Age 12 - 18	# of People Age 18 - 25	# of People Age 26 - 35	# of People Age 36 - 45	# of People Age 46 - 55	# of People Age 55 - 65	# of People Age 66 or Older	Income	Responsible Occupant - Gender	Responsible Occupant - Age	Responsible Occupant - Education	Responsible Occupant - Internet comfort level
343	P	Electric heat pump, central forced air	Portable electric heater(s)		64	66	too cool	Yes	September	June	1	Main floor hallway	Heat pump	Occasionally	not sure	not sure	Blank	1,500 – 1,999 sq. ft.	2000s	1		1	1	1	1	1	2		1			Yes	Yes	Yes	No		Yes		1 to 3	Warm / Cold	At various times	Yes	6 to 10	Not sure	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage							2		Don’t know	Female	55 to 65	Graduated college	Very comfortable
344	Y	Electric, central forced air	Woodstove or fireplace		70	68	just right	No	October	March	1	Master Bedroom	wall or window unit(s)	Routinely			Just right	1,000 – 1,499 sq. ft.	Before 1950	x	x	x	x	x	x	x	x		x			Yes	No	No	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Bathroom						1	1		$20,000 to $39,999	Male	55 to 65	Some college	Very comfortable
347	C	Electric, central forced air	None		67	64	too cool	No	October	June	1	Mail floor living room	None	Don't have one	off	off	Too warm	1,500 – 1,999 sq. ft.	2000s	x	x	x	x	x	x	x	x		x			Yes	Not sure	No	Yes	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	laundry room							1	1	Refused	Female	66 or older	Graduated college	Very comfortable
348	Y	Gas, oil, or propane central forced air	Portable electric heater(s)		74	58	just right	No	October	May	1	Living Room	wall or window unit(s)	Routinely	70	off	Just right	1,000 – 1,499 sq. ft.	Before 1950	2	1	1	1	1	1	1	1	0	1	0	0	Yes	No	No	No	Not applicable	No	Not applicable	7 to 9	Warm / Hot	At various times	Yes	11 to 15	Yes	No	Gas	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement		1				1			$20,000 to $39,999	Female	46 to 55	Some high school	Very comfortable
351	Y	Gas, oil, or propane central forced air	None		70	70	too cool	No	November	April	1	Main floor hallway	wall or window unit(s)	Routinely	0	0	Too warm	1,000 – 1,499 sq. ft.	1950s	2		1	1	1	1	1	1	1	3	1	1	No	No	No	No	Yes	Yes	No	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	Yes	Yes	Electric	Not sure	Sometimes sufficient	To prevent scalding (about 120 F)	1	Basement	1	1		2					$80,000 to $99,999	Female	26 to 35	Graduated college	Very comfortable
352	C	Electric heat pump, central forced air	None		65	69	too cool	Yes	November	April	1	Main Hallway	Heat pump	Occasionally	78	70	Just right	1,500 – 1,999 sq. ft.	2000s	2	1	1	1	1	1	1	3	1	4			Yes	Not sure	Not sure	No	No	Not sure		4 to 6 	Warm / Cold	At the same time of day	Yes	16 to 20	Yes	Not sure	Electric	No	Not usually sufficient	To prevent scalding (about 120 F)	1	Garage		2			1				$60,000 to $79,999	Male	36 to 45	Graduated college	Very comfortable
353	G	Electric heat pump, central forced air	None		71	68	too warm	Yes	October	June	1	Main floor hallway	Heat pump	Routinely	73	73	Too warm	2,500 – 2,999 sq. ft.	1970-1978	2	1	1	1	1	1	1	3	1	2	0	0	Yes	Yes	Not sure	No	Not sure	Not sure	Not applicable	4 to 6 	Cold / Cold	At various times	Yes	11 to 15	Yes	Not sure	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage						2			$20,000 to $39,999	Male	46 to 55	Some college	A little comfortable
358	C	Electric, central forced air	None		68	65	just right	No	November	Blank	1	Dining Room	None	Don't have one	off	off	Just right	1,500 – 1,999 sq. ft.	1990s	x	x	x	x	x	x	x	x		x	x		Yes	Not sure	Not sure	Yes	Blank	Yes	Yes	1 to 3	Warm / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room									$40,000 to $59,999	Male	55 to 65	Some college	Very comfortable
360	C	Other			68	58	just right	No	October	June	More than 2	Living room	None	Don't have one	off	off	Just right	2,500 – 2,999 sq. ft.	1990s	1	1	1	1	1	1	1	3	0	3	0	0	Yes	No	No	Yes	Blank	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry room								2	Refused	Male	66 or older	Graduated college	Very comfortable
361	C	Electric heat pump, central forced air	Woodstove or fireplace		72	72	just right	Yes	September	June	1	Main floor Hallway	Heat pump	Occasionally	70	70	Too warm	1,500 – 1,999 sq. ft.	1978-1989	2	1	1	1	1	1	1	2	1	1	1	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	7 to 9	Warm / Cold	At various times	Yes	16 to 20	Not sure	Yes	Electric	no	Usually sufficient	To prevent scalding (about 120 F)	1	Bedroom Closet		2				2			$80,000 to $99,999	Female	46 to 55	Some college	Very comfortable
362	C	Electric heat pump, central forced air	None		68	62	just right	Yes	September	May	1	Living Room	Heat pump	Never	68	62	Just right	1,000 – 1,499 sq. ft.	Before 1950	1		1	1	1	1	1	1		1			Yes	Yes	Yes	Yes	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	No	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Kitchen				1				1	$100,000 or more	Female	66 or older	Some college	Very comfortable
366	C	Electric heat pump, central forced air	Portable electric heater(s)	Other	72	67	just right	Yes	Blank	October	1	Main floor hallway	Heat pump	Occasionally	72	72	Just right	2,000 – 2,499 sq. ft.	2000s	x		x	x	x	x	x	x		x			Yes	Yes	No	No	Not sure	Not sure	Not sure	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage									$60,000 to $79,999	Male	55 to 65	Graduated college	Very comfortable
368	C	Electric, central forced air	Woodstove or fireplace		70	62	just right	Yes	November	April	1	Main floor hallway	None	Don't have one	88	88	Just right	1,000 – 1,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	1	0	2	0	0	Yes	Yes	Yes	No	Blank	Yes	Not applicable	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	Not sure	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage								2	$20,000 to $39,999	Male	66 or older	Some college	Very comfortable
373	Y	Electric baseboard	None		55	70	just right	No	November	April	More than 2	Every room	wall or window unit(s)	Routinely	0	0	Too warm	1,000 – 1,499 sq. ft.	1978-1989	2	0	1	1	1	1	1	1	1	2	1	0	Yes	Yes	Yes	Yes	Not sure	Not sure	Yes	1 to 3	Cold / Cold	At various times	Yes	11 to 15	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Kitchen counter		1			1				$40,000 to $59,999	Male	36 to 45	High school	A little comfortable
376	Y	Electric, central forced air	Woodstove or fireplace		72	64	just right	No	November	May	1	Main floor hallway	Central forced air	Occasionally	80	off	Just right	1,500 – 1,999 sq. ft.	1978-1989	1	1	1	1	1	1	1	1	0	1	0	0	Yes	No	No	Yes	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At the same time of day	Yes	6 to 10	Not sure	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room/Kitchen								2	$20,000 to $39,999	Male	66 or older	Graduate college/professional school	A little comfortable
377	Y	Gas, oil, or propane central forced air	Electric heat pump, forced air		71	63	too cool	Yes	November	April	1	Hallway	Heat pump	Routinely	73	off	Just right	2,000 – 2,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	1	0	2	0	0	Yes	Yes	No	Yes	Not applicable	No	Not applicable	7 to 9	Warm / Cold	At various times	Yes	11 to 15	No	No	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Utility room							2		$60,000 to $79,999	Female	55 to 65	Some college	Very comfortable
380	Y	Electric, central forced air	Woodstove or fireplace		68	65	too cool	Yes	October	May	1	Front room Living Room	Central forced air	Routinely	70	70	Just right	1,500 – 1,999 sq. ft.	1950s	1	1	1	1	1	1	1	1		1	1	1	Yes	Yes	Yes	No	Yes	Yes	Yes	10 or more	Cold / Cold	At various times	Yes	20 or more	Not sure	Yes	Electric	Not sure	Usually sufficient	As hot as possible (160 F or more)	1	Kitchen				2					$60,000 to $79,999	Male	26 to 35	Graduated college	Very comfortable
382	Y	Electric, central forced air	Woodstove or fireplace		72	68	just right	Yes	November	March	1	Main floor hallway	Central forced air	Occasionally	76	off	Just right	1,500 – 1,999 sq. ft.	1978-1989	1	0	1	1	1	1	1	1	0	2	0	0	No	No	No	No	No	No	No	4 to 6 	Warm / Cold	At the same time of day	No	11 to 15	Yes	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Hallway Closet						1		1	$100,000 or more	Female	46 to 55	Some college	Very comfortable
384	Y	Gas, oil, or propane central forced air	None		68	65	just right	No	October	April	1	Main floor hallway	wall or window unit(s)	Occasionally	off	off	Too warm	2,000 – 2,499 sq. ft.	1960s	1		1	1	1	1	1	1		1			Yes	No	No	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Not sure	11 to 15	No	No	Electric	No	Usually sufficient	To wash hands comfortably (less than 120 F)	1	Basement						2			$40,000 to $59,999	Male	55 to 65	Graduated college	Very comfortable
386	Y	Electric heat pump, central forced air	Woodstove or fireplace		67	67	just right	No	October	April	1	Main hallway	Heat pump	Routinely	72	72	Just right	1,500 – 1,999 sq. ft.	1970-1978	1		1	1	1	1	1	1		2	1		No	No	No	No	No	No	No	4 to 6 	Warm / Cold	At various times	Not sure	11 to 15	Not sure	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Hall Closet						1			$80,000 to $99,999	Male	36 to 45	Graduated college	Very comfortable
387	Y	Electric, central forced air	Woodstove or fireplace		72	65	just right	Yes	October	April	1	Main floor hallway	None	Don't have one	off	off	Just right	1,000 – 1,499 sq. ft.	1978-1989	2	0	1	1	1	1	1	1	1	3	0	0	No	No	No	No	No	No	No	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	No	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage						1	1		$40,000 to $59,999	Male	55 to 65	Some college	A little comfortable
389	Y	Gas, oil, or propane central forced air	None		71	72	just right	Yes	August	May	1	Hallway	Central forced air	Routinely	70	70	Just right	1,000 – 1,499 sq. ft.	1990s	x	x	x	x	x	x	x	x	x	x			Yes	No	No	No	No	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Not sure	16 to 20	No	No	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage					1	1			$40,000 to $59,999	Male	46 to 55	Graduated college	Very comfortable
390	Y	Electric heat pump, central forced air	Other		72	68	just right	No	October	May	1	Main floor	Central forced air	Routinely	75	75	Just right	1,000 – 1,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x	x		Yes	Yes	Yes	Yes		Yes	Yes	7 to 9	Warm / Cold	At various times	Yes	16 to 20	No	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	House-pantry		1	1			2			$40,000 to $59,999	Female	46 to 55	Some college	Very comfortable
391	Y	Gas, oil, or propane central forced air	None		71	71	just right	Yes	September	May	1	Main floor hallway	Central forced air	Routinely	75	75	Just right	1,000 – 1,499 sq. ft.	1970-1978	1		1	1	1	1	1	1		2			Yes	No	No	No	No	No	Not applicable	7 to 9	Warm / Cold	At various times	Yes	16 to 20	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage							2		$80,000 to $99,999	Female	55 to 65	Graduated college	Very comfortable
392	Y	Electric, central forced air	None		60	73	just right	No	October	April	More than 2	Kitchen	wall or window unit(s)	Routinely	70	70	Just right	Less than 1000 sq. ft.	1990s	x		x	x	x	x	x	x	x	x			No	No	No	No	No	No	No	7 to 9	Warm / Cold	At various times	No	11 to 15	Not sure	No	Electric	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Master bedroom				3					Refused	Female	26 to 35	Some college	Very comfortable
394	Y	Electric, central forced air	None		70	66	too cool	No	September	April	1	Main floor hallway	Central forced air	Routinely	78	75	Just right	1,500 – 1,999 sq. ft.	1970-1978	1	0	1	1	1	1	1	1	1	2	0	0	Yes	No	No	No	No	Not sure	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	Not sure	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage				1			1		$40,000 to $59,999	Female	26 to 35	Graduate college/professional school	Very comfortable
395	Y	Gas, oil, or propane central forced air	None		72	72	just right	Yes	September	May	1	Main floor hallway	Heat pump	Routinely	72	72	Just right	1,000 – 1,499 sq. ft.	1990s	x	x	x	x	x	x	x	x	x	x			Yes	No	No	No	No	No	Not applicable	7 to 9	Warm / Cold	At various times	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage							2		$60,000 to $79,999	Male	55 to 65	Graduated college	Very comfortable
398	Y	Electric heat pump, central forced air			64	67	just right	Yes	October	April	1	Hallway	Heat pump	Occasionally	78	78	Just right	1,000 – 1,499 sq. ft.	1978-1989	x	x	x	x	x	x	x	x		x			Yes	Yes	Yes	No	Not applicable	Not sure	Not applicable	4 to 6 	Cold / Cold	At various times	Yes	11 to 15	Not sure	Not sure	Electric	Not sure	Sometimes sufficient	To prevent scalding (about 120 F)	1	Washroom				2					$60,000 to $79,999	Male	26 to 35	Some college	A little comfortable
401	C	Electric heat pump, central forced air			65	68	just right	Yes	October	May	1	Main floor hallway	Heat pump	Occasionally	blank	blank	Blank	Blank	Blank																				Blank	Blank	Blank	Blank	Blank	Blank	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement									$40,000 to $59,999	Male	55 to 65	Some college	Very comfortable
402	Y	Gas, oil, or propane central forced air	Woodstove or fireplace		70	70	just right	Yes	November	March	1	Main floor hallway	Central forced air	Occasionally	70	70	Just right	1,500 – 1,999 sq. ft.	1990s	2		1	1	1	1	1	1	1				Yes	Yes	Yes	Yes	Yes	Yes	Yes	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Not sure	No	Gas	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage					1				$60,000 to $79,999	Male	36 to 45	Graduated college	Very comfortable
406	Y	Woodstove or fireplace	Portable electric heater(s)		na	na	just right	No	November	March	Blank	N/A	None	Don't have one	blank	blank	Just right	2,000 – 2,499 sq. ft.	1960s	x	x	x	x	x	x	x	x		x			Yes	No	No	No	Not applicable	Yes	Not applicable	10 or more	Warm / Cold	At various times	Yes	16 to 20	No	No	Electric	Not sure	Usually sufficient	As hot as possible (160 F or more)	1	Basement					1				$20,000 to $39,999	Female	26 to 35	Some college	A little comfortable
407	Y	Electric, central forced air	None		71	68	just right	No	September	june	1	Dining Area	Central forced air	Routinely	68	68	Too warm	2,000 – 2,499 sq. ft.	1978-1989	x	x	x	x	x	x	x	x	x	x			Yes	No	No	No	No	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	20 or more	No	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room		2		1	1				$40,000 to $59,999	Male	36 to 45	Graduated college	Very comfortable
408	Y	Electric heat pump, central forced air	None		65	69	just right	Yes			1	Hallway	Heat pump	Routinely	75	73	Just right	1,500 – 1,999 sq. ft.	1978-1989	x	x	x	x	x	x	x	x	x	x			Yes	No	No	No	No	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	No	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry Room							2		$40,000 to $59,999	Male	55 to 65	Some college	Very comfortable
412	Y	Electric heat pump, central forced air	Woodstove or fireplace		65	68	just right	Yes	November	March	1	Main floor hallway	Heat pump	Routinely	72	72	Just right	1,500 – 1,999 sq. ft.	1970-1978	2		1	1	1	1	1	1	2	1	1	1	Yes	Yes	Yes	Yes	Yes	Yes	Yes	4 to 6 	Warm / Cold	At various times	Yes	16 to 20	No	Yes	Electric	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room		1	1		1				$60,000 to $79,999	Male	36 to 45	Some college	Very comfortable
414	Y	Gas, oil, or propane central forced air	Woodstove or fireplace		68	58	just right	No	November	May	1	Front room	Central forced air	Routinely	75	off	Just right	2,500 – 2,999 sq. ft.	1950s	2	1	1	1	1	1	2	8	2	1		1	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	4 to 6 	Warm / Cold	At the same time of day	Not sure	6 to 10	Yes	Not sure	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement			1				2		$60,000 to $79,999	Female	55 to 65	Graduate college/professional school	Very comfortable
415	G	Portable electric heater(s)	None		68	63	just right	Yes	October	April	1	2nd floor hallway	wall or window unit(s)	Routinely	off	off	Too warm	2,500 – 2,999 sq. ft.	1970-1978	2		1	1	1	1	1	3		2			Yes	No	No	No	Not applicable	Not sure	Not applicable	10 or more	Warm / Cold	At various times	Yes	16 to 20	Yes	Yes	Gas	Not sure	Not usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	lower level bathroom			3			2			$20,000 to $39,999	Female	46 to 55	High school	A little comfortable
419	C	Electric, central forced air	Woodstove or fireplace		68	58	just right	No	October	May	1	Main floor hallway	None	Don't have one	off	off	Too warm	2,500 – 2,999 sq. ft.	1978-1989	1	1	1	1	1	1	1	1	0	1	0	0	Yes	Yes	Yes	No	Blank	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement								1	$60,000 to $79,999	Male	66 or older	Graduate college/professional school	Very comfortable
424	Y	Electric heat pump, central forced air	Electric, central forced air		68	63	just right	Yes	October	May	1	Main Hallway	Heat pump	Routinely	76	74	Just right	1,500 – 1,999 sq. ft.	1978-1989	1	1	1	1	1	1	1	1	0	3	0	0	Yes	Yes	Yes	Yes	Not applicable	No	Not applicable	1 to 3	Cold / Cold	At the same time of day	Yes	11 to 15	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	2	Main house						1	1		$80,000 to $99,999	Male	55 to 65	Graduate college/professional school	A little comfortable
425	Y	Gas, oil, or propane central forced air	None		62	71	too cool	Yes	October	May	1	Main Hallway	Central forced air	Routinely	80	77	Just right	1,000 – 1,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	2	0	3	1	0	Yes	No	No	No	Not sure	No	Yes	7 to 9	Warm / Cold	At various times	Yes	6 to 10	Yes	Not sure	Gas	No	Usually sufficient	To wash hands comfortably (less than 120 F)	1	Its own closet						2			$60,000 to $79,999	Male	46 to 55	Graduated college	Very comfortable
426	Y	Electric heat pump, central forced air	Woodstove or fireplace		68	off	just right	Yes	October	April	1	Main floor hallway	Heat pump	Routinely	77	77	Just right	1,500 – 1,999 sq. ft.	1978-1989	1	1	1	1	1	1	1	2		1			Yes	Not sure	Not sure	No	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Entry Closet						1	1		$60,000 to $79,999	Female	46 to 55	Graduated college	Very comfortable
428	Y	Electric, central forced air	Woodstove or fireplace		68	60	too cool	No	November	March	1	Main floor hallway	Heat pump	Occasionally	80-82	80	Too warm	1,500 – 1,999 sq. ft.	1970-1978	x		x	x	x	x	x	x	x	x			Not sure	Not sure	No	No	No	No	Not applicable	1 to 3	Warm / Cold	At the same time of day	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Utility room									Blank	Male	66 or older	High school	A little comfortable
429	C	Electric heat pump, central forced air	Electric heat pump, forced air	Woodstove or fireplace	70	64	just right	Yes	September	June	2	Master Bedroom	Heat pump	Occasionally	70	64	Just right	More than 3,500 sq. ft.	1978-1989	2	1	1	1	1	2	2	5	1	3			Yes	Yes	No	No	No	Blank	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Not sure	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	2	Laundry Room							2		$60,000 to $79,999	Male	55 to 65	Graduate college/professional school	Very comfortable
430	Y	Electric heat pump, central forced air	None		69	68	too cool	Yes	October	April	1	Main hallway	Heat pump	Routinely	78	78	Just right	1,000 – 1,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	2		3			Yes	Not sure	Yes	Not sure	Not applicable	Not sure	Not applicable	7 to 9	Cold / Cold	At the same time of day	Yes	20 or more	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry Room		1			2				$40,000 to $59,999	Female	36 to 45	Trade or technical school	Very comfortable
432	G	Electric, central forced air	Woodstove or fireplace		65	65	just right	No	November	May	1	Main floor hallway	None	Don't have one	off	off	Just right	2,000 – 2,499 sq. ft.	1970-1978	1	1	1	1	1	1	1	2		4			Yes	Not sure	Yes	Not sure	Not applicable	Not sure	Not applicable	10 or more	Warm / Cold	At various times	Yes	20 or more	Not sure	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement				1			2		$60,000 to $79,999	Male	55 to 65	Graduated college	Very comfortable
434	C	Electric heat pump, central forced air	None		68	63	just right	Yes	November	April	1	Main Hallway	Central forced air	Occasionally	72	off	Just right	2,000 – 2,499 sq. ft.	1990s	2	1	1	1	1	1	1	1	1	2	0	0	Yes	Not sure	Not sure	Yes	No	Yes	Not applicable	1 to 3	Warm / Cold	At various times	Yes	Blank	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Under House								2	$40,000 to $59,999	Male	66 or older	Some college	Not comfortable
435	Y	Gas, oil, or propane central forced air	Portable electric heater(s)		68	68	just right	Yes	October	March	1	Main floor hallway	Heat pump	Routinely	72	72	Too warm	1,000 – 1,499 sq. ft.	1990s	3	1	1	1	1	2	2	1	1	2	0	0	Yes	No	No	No	No	No	Not applicable	7 to 9	Cold / Cold	At various times	Not sure	20 or more	Not sure	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage						1	2		$100,000 or more	Female	46 to 55	High school	A little comfortable
436	Y	Electric baseboard	None		70	78	just right	No	October	April	1	Main floor	wall or window unit(s)	Routinely	0	0	Just right	Less than 1000 sq. ft.	1950s	1	1	1	1	1	1	1	1	0	1	0	0	Yes	No	No	No	No	No	No	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	As hot as possible (160 F or more)	1	Basement				2					$40,000 to $59,999	Female	26 to 35	Some college	Very comfortable
439	Y	Gas, oil, or propane central forced air	Woodstove or fireplace		68	64	just right	No	October	April	1	Main floor hallway	Central forced air	Routinely	72	76	Just right	1,000 – 1,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x			No	No	No	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At the same time of day	No	11 to 15	Yes	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage						1	1		$40,000 to $59,999	Male	46 to 55	Graduated college	Very comfortable
440	C	Electric heat pump, central forced air	Electric baseboard	Other	65	68	just right	Yes	October	April	1	Main floor hallway	Heat pump	Never	74	74	Just right	1,500 – 1,999 sq. ft.	Before 1950	x	x	x	x	x	x	x	x		x			Yes	Yes	Not sure	Not sure	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry/Utility Room						2			$60,000 to $79,999	Male	46 to 55	Graduate college/professional school	Very comfortable
441	Y	Electric baseboard	Portable electric heater(s)		blank	blank	too cool	No	December	February	Blank	N/A	wall or window unit(s)	Occasionally	blank	blank	Too warm	2,500 – 2,999 sq. ft.	1960s	1	1	1	1	0	1	1	2	1	1	0	0	Blank	Blank	Blank	Blank	Blank	Blank	Blank	10 or more	Warm / Cold	At various times	Yes	20 or more	Not sure	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement	1	2	1		1	1		1	$60,000 to $79,999	Female	46 to 55	Graduated college	Very comfortable
442	C	Electric, central forced air	Portable electric heater(s)		64	60	too cool	No	October	April	1	Main floor hallway	None	Don't have one	55	55	Just right	2,000 – 2,499 sq. ft.	1978-1989	x		x	x		x	x	x		x			Blank	Yes	Yes	Yes	Not applicable	Not sure	Not applicable	1 to 3	Warm / Cold	At various times	Yes	6 to 10	No	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Storage Room									$60,000 to $79,999	Female	46 to 55	Graduated college	Very comfortable
443	C	Electric, central forced air	Gas, oil, or propane central forced air		72	65	just right	No	October	July	2	Main floor hallway	wall or window unit(s)	Occasionally	off	off	Just right	1,500 – 1,999 sq. ft.	1990s	x	x	x	x	x	x	x	x		x			Yes	Not sure	Not sure	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	No	Not sure	Electric	No	Usually sufficient	Blank	1	Bedroom Closet								3	$20,000 to $39,999	Male	66 or older	Trade or technical school	A little comfortable
444	Y	Gas, oil, or propane central forced air	None		70	66	too cool	No	October	March	1	2nd floor hallway	Central forced air	Routinely	74	74	Just right	2,000 – 2,499 sq. ft.	1950s	1	1	1	1	1	1	1	1	0	1	0	0	Yes	No	No	Yes	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Not sure	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	2	Basement							2		$60,000 to $79,999	Male	55 to 65	Graduated college	A little comfortable
445	Y	Gas, oil, or propane central forced air	None		69	66	just right	Yes	October	March	1	Main floor dining room	Heat pump	Routinely	72	72	Just right	3,000 – 3,499 sq. ft.	1970-1978	2	1	1	1	1	1	1	2	0	1	0	0	Yes	No	No	No	Not applicable	No	Not applicable	10 or more	Warm / Cold	At various times	Not sure	16 to 20	Yes	Not sure	Electric	No	Not usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement	1	1			1	1			$100,000 or more	Male	46 to 55	Graduated college	Very comfortable
