# Center-tapped Distribution transformer definitions
Name, NumPhases, Wdg1Bus, phase, Wdg1kV, Wdg1kVA, Wdg2Bus, phase, Wdg2kV, Wdg2kVA, Wdg3Bus, phase, Wdg3kV, Wdg3kVA, %imag, %R1, %R2, %R3, %NoLoadLoss, %X12, %X13, %X23
T5355605B, 1, L2729409, B, 7.2, 25, X2729409B, a, 0.12, 25, X2729409B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260630B, 1, L2973833, B, 7.2, 15, X2973833B, a, 0.12, 15, X2973833B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337660C, 1, L2897769, C, 7.2, 25, X2897769C, a, 0.12, 25, X2897769C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293663C, 1, L3216368, C, 7.2, 15, X3216368C, a, 0.12, 15, X3216368C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138719A, 1, L2860490, A, 7.2, 25, X2860490A, a, 0.12, 25, X2860490A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5251858C, 1, L2861158, C, 7.2, 25, X2861158C, a, 0.12, 25, X2861158C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5302804C, 1, L3141399, C, 7.2, 37.5, X3141399C, a, 0.12, 37.5, X3141399C, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5356062B, 1, L3122816, B, 7.2, 25, X3122816B, a, 0.12, 25, X3122816B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5346639C, 1, L2992556, C, 7.2, 15, X2992556C, a, 0.12, 15, X2992556C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5302508C, 1, L2897779, C, 7.2, 25, X2897779C, a, 0.12, 25, X2897779C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321881A, 1, L2970811, A, 7.2, 25, X2970811A, a, 0.12, 25, X2970811A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355433C, 1, L2991933, C, 7.2, 50, X2991933C, a, 0.12, 50, X2991933C, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21398402A, 1, L2729428, A, 7.2, 15, X2729428A, a, 0.12, 15, X2729428A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21398563A, 1, L3254216, A, 7.2, 25, X3254216A, a, 0.12, 25, X3254216A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21386771B, 1, L2897807, B, 7.2, 15, X2897807B, a, 0.12, 15, X2897807B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260648A, 1, L2898522, A, 7.2, 25, X2898522A, a, 0.12, 25, X2898522A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293490C, 1, L3048230, C, 7.2, 25, X3048230C, a, 0.12, 25, X3048230C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T225901711A, 1, L3195327, A, 7.2, 15, X3195327A, a, 0.12, 15, X3195327A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T227902981A, 1, L3047058, A, 7.2, 37.5, X3047058A, a, 0.12, 37.5, X3047058A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321853B, 1, L2673313, B, 7.2, 25, X2673313B, a, 0.12, 25, X2673313B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2224237653A, 1, L3649302, A, 7.2, 37.5, X3649302A, a, 0.12, 37.5, X3649302A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2224386592A, 1, L3729297, A, 7.2, 25, X3729297A, a, 0.12, 25, X3729297A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5391990A, 1, L2858163, A, 7.2, 15, X2858163A, a, 0.12, 15, X2858163A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226881057B, 1, L3214112, B, 7.2, 15, X3214112B, a, 0.12, 15, X3214112B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T225533531A, 1, L2685805, A, 7.2, 25, X2685805A, a, 0.12, 25, X2685805A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5247056A, 1, L2991912, A, 7.2, 15, X2991912A, a, 0.12, 15, X2991912A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T227905262A, 1, L3140238, A, 7.2, 25, X3140238A, a, 0.12, 25, X3140238A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21469960B, 1, L3066830, B, 7.2, 25, X3066830B, a, 0.12, 25, X3066830B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260511C, 1, L3160878, C, 7.2, 15, X3160878C, a, 0.12, 15, X3160878C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138346C, 1, L2916609, C, 7.2, 15, X2916609C, a, 0.12, 15, X2916609C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T225806974A, 1, L2876814, A, 7.2, 10, X2876814A, a, 0.12, 10, X2876814A, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355944B, 1, L3197646, B, 7.2, 25, X3197646B, a, 0.12, 25, X3197646B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138569A, 1, L2973151, A, 7.2, 15, X2973151A, a, 0.12, 15, X2973151A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337625C, 1, L3197627, C, 7.2, 25, X3197627C, a, 0.12, 25, X3197627C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321874A, 1, L2764412, A, 7.2, 25, X2764412A, a, 0.12, 25, X2764412A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337713C, 1, L2766716, C, 7.2, 15, X2766716C, a, 0.12, 15, X2766716C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5391757B, 1, L2991917, B, 7.2, 10, X2991917B, a, 0.12, 10, X2991917B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338998B, 1, L3254229, B, 7.2, 25, X3254229B, a, 0.12, 25, X3254229B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5356064B, 1, L2935556, B, 7.2, 25, X2935556B, a, 0.12, 25, X2935556B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5323275B, 1, L3197660, B, 7.2, 25, X3197660B, a, 0.12, 25, X3197660B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21389237A, 1, L2989565, A, 7.2, 25, X2989565A, a, 0.12, 25, X2989565A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2224230615C, 1, L3645809, C, 7.2, 50, X3645809C, a, 0.12, 50, X3645809C, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260463B, 1, L3086075, B, 7.2, 15, X3086075B, a, 0.12, 15, X3086075B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5302402A, 1, L3122824, A, 7.2, 15, X3122824A, a, 0.12, 15, X3122824A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355599B, 1, L3216338, B, 7.2, 25, X3216338B, a, 0.12, 25, X3216338B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21393412B, 1, L2729405, B, 7.2, 25, X2729405B, a, 0.12, 25, X2729405B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5356807A, 1, L2823545, A, 7.2, 25, X2823545A, a, 0.12, 25, X2823545A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293660B, 1, L2916610, B, 7.2, 25, X2916610B, a, 0.12, 25, X2916610B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T227731863A, 1, L3177665, A, 7.2, 37.5, X3177665A, a, 0.12, 37.5, X3177665A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T227760021A, 1, L2803199, A, 7.2, 50, X2803199A, a, 0.12, 50, X2803199A, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T227760021B, 1, L2803199, B, 7.2, 50, X2803199B, a, 0.12, 50, X2803199B, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T227760021C, 1, L2803199, C, 7.2, 50, X2803199C, a, 0.12, 50, X2803199C, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5391980A, 1, L2691952, A, 7.2, 15, X2691952A, a, 0.12, 15, X2691952A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338984A, 1, L2748144, A, 7.2, 25, X2748144A, a, 0.12, 25, X2748144A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337702B, 1, L3029504, B, 7.2, 25, X3029504B, a, 0.12, 25, X3029504B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337696B, 1, L3197635, B, 7.2, 15, X3197635B, a, 0.12, 15, X3197635B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T225577437C, 1, L2724120, C, 7.2, 25, X2724120C, a, 0.12, 25, X2724120C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337676A, 1, L3235244, A, 7.2, 25, X3235244A, a, 0.12, 25, X3235244A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5323418A, 1, L2804254, A, 7.2, 25, X2804254A, a, 0.12, 25, X2804254A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226192936B, 1, L2820531, B, 7.2, 25, X2820531B, a, 0.12, 25, X2820531B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337706B, 1, L3254214, B, 7.2, 25, X3254214B, a, 0.12, 25, X3254214B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5339010B, 1, L2691966, B, 7.2, 50, X2691966B, a, 0.12, 50, X2691966B, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5391987A, 1, L3122822, A, 7.2, 25, X3122822A, a, 0.12, 25, X3122822A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5310569A, 1, L3197639, A, 7.2, 25, X3197639A, a, 0.12, 25, X3197639A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T225869139A, 1, L3120503, A, 7.2, 15, X3120503A, a, 0.12, 15, X3120503A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337708B, 1, L3216349, B, 7.2, 15, X3216349B, a, 0.12, 15, X3216349B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226308719B, 1, L3027670, B, 7.2, 75, X3027670B, a, 0.12, 75, X3027670B, b, 0.12, 75, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337630C, 1, L3085392, C, 7.2, 15, X3085392C, a, 0.12, 15, X3085392C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138655A, 1, L3010556, A, 7.2, 15, X3010556A, a, 0.12, 15, X3010556A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226194826A, 1, L3232902, A, 7.2, 25, X3232902A, a, 0.12, 25, X3232902A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5356808A, 1, L3101782, A, 7.2, 37.5, X3101782A, a, 0.12, 37.5, X3101782A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355593B, 1, L2766715, B, 7.2, 15, X2766715B, a, 0.12, 15, X2766715B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5356787C, 1, L2970804, C, 7.2, 25, X2970804C, a, 0.12, 25, X2970804C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321845B, 1, L3178975, B, 7.2, 25, X3178975B, a, 0.12, 25, X3178975B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337720A, 1, L2841648, A, 7.2, 15, X2841648A, a, 0.12, 15, X2841648A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337631C, 1, L3029497, C, 7.2, 10, X3029497C, a, 0.12, 10, X3029497C, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21486213B, 1, L3029520, B, 7.2, 15, X3029520B, a, 0.12, 15, X3029520B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28127319B, 1, L2766744, B, 7.2, 25, X2766744B, a, 0.12, 25, X2766744B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337666B, 1, L3029518, B, 7.2, 25, X3029518B, a, 0.12, 25, X3029518B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5356809A, 1, L2936214, A, 7.2, 25, X2936214A, a, 0.12, 25, X2936214A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5323397B, 1, L2954346, B, 7.2, 25, X2954346B, a, 0.12, 25, X2954346B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337692B, 1, L2879061, B, 7.2, 10, X2879061B, a, 0.12, 10, X2879061B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5339042B, 1, L3141394, B, 7.2, 25, X3141394B, a, 0.12, 25, X3141394B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260501B, 1, L3142098, B, 7.2, 25, X3142098B, a, 0.12, 25, X3142098B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2224230754C, 1, L3645812, C, 7.2, 37.5, X3645812C, a, 0.12, 37.5, X3645812C, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138563A, 1, L2916627, A, 7.2, 25, X2916627A, a, 0.12, 25, X2916627A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338936C, 1, L3066815, C, 7.2, 25, X3066815C, a, 0.12, 25, X3066815C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5247185B, 1, L3179678, B, 7.2, 15, X3179678B, a, 0.12, 15, X3179678B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21482181A, 1, L3254237, A, 7.2, 25, X3254237A, a, 0.12, 25, X3254237A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5323280B, 1, L2710512, B, 7.2, 25, X2710512B, a, 0.12, 25, X2710512B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138264B, 1, L3104125, B, 7.2, 25, X3104125B, a, 0.12, 25, X3104125B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337679A, 1, L3010559, A, 7.2, 15, X3010559A, a, 0.12, 15, X3010559A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21357984C, 1, L2897790, C, 7.2, 25, X2897790C, a, 0.12, 25, X2897790C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260553C, 1, L2711225, C, 7.2, 15, X2711225C, a, 0.12, 15, X2711225C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293523A, 1, L2766729, A, 7.2, 25, X2766729A, a, 0.12, 25, X2766729A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5302507B, 1, L3235275, B, 7.2, 25, X3235275B, a, 0.12, 25, X3235275B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2224387019A, 1, L3728038, A, 7.2, 25, X3728038A, a, 0.12, 25, X3728038A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355431C, 1, L3048222, C, 7.2, 37.5, X3048222C, a, 0.12, 37.5, X3048222C, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138404C, 1, L2841630, C, 7.2, 25, X2841630C, a, 0.12, 25, X2841630C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138574A, 1, L2991907, A, 7.2, 25, X2991907A, a, 0.12, 25, X2991907A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138466C, 1, L2973144, C, 7.2, 25, X2973144C, a, 0.12, 25, X2973144C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21397721A, 1, L3178976, A, 7.2, 15, X3178976A, a, 0.12, 15, X3178976A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337684A, 1, L3159448, A, 7.2, 25, X3159448A, a, 0.12, 25, X3159448A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5339051C, 1, L3231255, C, 7.2, 25, X3231255C, a, 0.12, 25, X3231255C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337623C, 1, L3197626, C, 7.2, 15, X3197626C, a, 0.12, 15, X3197626C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226308725B, 1, L2802480, B, 7.2, 75, X2802480B, a, 0.12, 75, X2802480B, b, 0.12, 75, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5356804A, 1, L2823544, A, 7.2, 25, X2823544A, a, 0.12, 25, X2823544A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355604B, 1, L2841624, B, 7.2, 15, X2841624B, a, 0.12, 15, X2841624B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21459660C, 1, L3101194, C, 7.2, 75, X3101194C, a, 0.12, 75, X3101194C, b, 0.12, 75, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337636C, 1, L2841619, C, 7.2, 37.5, X2841619C, a, 0.12, 37.5, X2841619C, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260505C, 1, L2861218, C, 7.2, 25, X2861218C, a, 0.12, 25, X2861218C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5325245B, 1, L2710513, B, 7.2, 10, X2710513B, a, 0.12, 10, X2710513B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21385192C, 1, L2879062, C, 7.2, 15, X2879062C, a, 0.12, 15, X2879062C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260496B, 1, L2879767, B, 7.2, 10, X2879767B, a, 0.12, 10, X2879767B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21399220C, 1, L2766725, C, 7.2, 15, X2766725C, a, 0.12, 15, X2766725C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337655C, 1, L3141396, C, 7.2, 15, X3141396C, a, 0.12, 15, X3141396C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5330122B, 1, L2879752, B, 7.2, 15, X2879752B, a, 0.12, 15, X2879752B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28148060C, 1, L2991940, C, 7.2, 15, X2991940C, a, 0.12, 15, X2991940C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5302674A, 1, L2673321, A, 7.2, 25, X2673321A, a, 0.12, 25, X2673321A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355601B, 1, L2673326, B, 7.2, 15, X2673326B, a, 0.12, 15, X2673326B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T225533703C, 1, L2925506, C, 7.2, 25, X2925506C, a, 0.12, 25, X2925506C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5356814C, 1, L2730106, C, 7.2, 25, X2730106C, a, 0.12, 25, X2730106C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226196648A, 1, L2820556, A, 7.2, 25, X2820556A, a, 0.12, 25, X2820556A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321861C, 1, L3235248, C, 7.2, 15, X3235248C, a, 0.12, 15, X3235248C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355840B, 1, L2822871, B, 7.2, 25, X2822871B, a, 0.12, 25, X2822871B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21243817A, 1, L2955076, A, 7.2, 15, X2955076A, a, 0.12, 15, X2955076A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260589B, 1, L2955005, B, 7.2, 15, X2955005B, a, 0.12, 15, X2955005B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338961C, 1, L3254208, C, 7.2, 25, X3254208C, a, 0.12, 25, X3254208C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337723A, 1, L3178978, A, 7.2, 15, X3178978A, a, 0.12, 15, X3178978A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138573A, 1, L3235253, A, 7.2, 25, X3235253A, a, 0.12, 25, X3235253A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321888C, 1, L3235241, C, 7.2, 25, X3235241C, a, 0.12, 25, X3235241C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28148580B, 1, L3197636, B, 7.2, 25, X3197636B, a, 0.12, 25, X3197636B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28126875B, 1, L3066811, B, 7.2, 25, X3066811B, a, 0.12, 25, X3066811B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2224192013A, 1, L3632979, A, 7.2, 15, X3632979A, a, 0.12, 15, X3632979A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260532C, 1, L3086074, C, 7.2, 15, X3086074C, a, 0.12, 15, X3086074C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21389831A, 1, L2674051, A, 7.2, 15, X2674051A, a, 0.12, 15, X2674051A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21396331B, 1, L3178981, B, 7.2, 25, X3178981B, a, 0.12, 25, X3178981B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T227732939B, 1, L3046854, B, 7.2, 37.5, X3046854B, a, 0.12, 37.5, X3046854B, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321856B, 1, L2860506, B, 7.2, 15, X2860506B, a, 0.12, 15, X2860506B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260625C, 1, L3048966, C, 7.2, 15, X3048966C, a, 0.12, 15, X3048966C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338950B, 1, L2822872, B, 7.2, 25, X2822872B, a, 0.12, 25, X2822872B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226194419C, 1, L3214071, C, 7.2, 25, X3214071C, a, 0.12, 25, X3214071C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
