#   Primary   circuit    line   definitions   
Name, Bus1, Phases, Bus2, Phases, Length, Units, LineCode,  Status   
HVMV_Sub_connector, _HVMV_Sub_LSB, ABC,   HVMV_Sub_48332, ABC,  0.01, km, 3PH-Connector  
LN6019480-1, M1009763, ABC, E182733, ABC,  0.082687134, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6231993-1, L3160102, ABC, P827514, ABC,  0.06127383, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5683831-1, L2860490, ABC, L3104134, ABC,  0.063357888, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6001653-3, M1026844, ABC, L2876814, ABC,  0.002970239, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6047577-1, M1047513, ABC, M1047507, ABC,  0.069519776, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6380810-1, M1047732, ABC, M1047737, ABC,  0.086697851, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6274208-2, L2896685, ABC, M1089185, ABC,  0.024030357, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5472370-1, M1047339, ABC, L2860491, ABC,  0.082877838, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6274208-1, M1108395, ABC, L2896685, ABC,  0.094743382, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5531256-1, M1026829, ABC, M1026824, ABC,  0.13705468, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5683858-3, N1140827, ABC, M1026726, ABC,  0.017268995, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5835149-1, M1026330, ABC, M1026329, ABC,  0.036059111, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5835150-1, M1026744, ABC, M1026724, ABC,  0.16839524, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5651975-1, L2991914, ABC, M1047503, ABC,  0.035650057, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
293471, F739845, ABC, 293471, ABC,  0.03048, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5502538-1, L2822869, ABC, M1026808, ABC,  0.094783217, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5894206-1, M1047720, ABC, L2895449, ABC,  0.001919329, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6438273-2, M1026700, ABC, N1140823, ABC,  0.037008228, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5895818-1, M1026356, ABC, M1026354, ABC,  0.038743587, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5498301-1, M1026796, ABC, M1026795, ABC,  0.030412228, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6379462-1, M1047299, ABC, L3139121, ABC,  0.044989749, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6001653-1, M1026834, ABC, M1026829, ABC,  0.054002672, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5955063-1, M1108286, ABC, L2933164, ABC,  0.079292547, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6380847-1, L3254238, ABC, M1047303, ABC,  0.099313729, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5926308-2, Q14412, ABC, M1047325, ABC,  0.033944982, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5744341-1, L2897780, ABC, L3235255, ABC,  0.043572099, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5532743-1, M1069155, ABC, M1069154, ABC,  0.10054978, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6262266-12, M1047303, ABC, N1145954, ABC,  0.004178292, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6364659-1, M1108395, ABC, L2728247, ABC,  0.086099659, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6199530-1, R18242, ABC, L3254218, ABC,  0.037866233, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5774497-1, L3027116, ABC, M1047300, ABC,  0.068887038, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN6044631-1, M1009650, ABC, E203026, ABC,  0.27147085, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR 
LN5742835-1, M1009770, ABC, L2689691, ABC,  0.055687665, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_TPX  
LN6290212-1, M1089131, ABC, L3029502, ABC,  0.095769969, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6259989-1, R18241, ABC, M1047763, ABC,  0.06904958, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6108144-1, M1026795, ABC, M1026786, ABC,  0.073764865, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6108150-2, N1140818, ABC, L2973167, ABC,  0.010689023, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6138608-3, L3029502, ABC, D6138608-3_INT, ABC,  0.085516894, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6108150-3, M1026695, ABC, N1140818, ABC,  0.063212772, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5927423-1, L2936271, ABC, M1142815, ABC,  0.13955636, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6138610-3, L2897777, ABC, N1144665, ABC,  0.027116362, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5504876-1, M1142818, ABC, P829965, ABC,  0.06747348, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5502531-1, L3104125, ABC, M1089131, ABC,  0.038246899, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6350577-1, L2673346, ABC, L3254238, ABC,  0.12918061, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6440069-1, L2933164, ABC, L3029498, ABC,  0.067491088, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6171508-1, E182748, ABC, L2673346, ABC,  0.063959809, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5593253-1, M1047316, ABC, L3216370, ABC,  0.014696401, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5770318-1, M1026786, ABC, M1026785, ABC,  0.003869814, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5835143-1, M1089118, ABC, M1089115, ABC,  0.16170829, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5527400-1, L2688692, ABC, M1108286, ABC,  0.005096697, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5650219-1, M1026700, ABC, M1026706, ABC,  0.08550029, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6347196-3, L2973167, ABC, N1140819, ABC,  0.068988801, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6108142-1, E206209, ABC, L2897777, ABC,  0.12455796, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5714056-2, N1139551, ABC, M1026695, ABC,  0.022589219, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5593234-1, M1089115, ABC, M1089112, ABC,  0.091503606, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6138608-2, Q14404, ABC, regxfmr_190-7361, ABC,  0.004597065, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5773040-1, M1047724, ABC, M1047722, ABC,  0.042372467, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6258439-1, L2876797, ABC, R18241, ABC,  0.049376638, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5806919-1, E182724, ABC, M1069169, ABC,  0.092995455, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6255773-1, M1026785, ABC, M1026783, ABC,  0.029741815, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5472360-1, M1089120, ABC, M1089119, ABC,  0.057934318, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6079946-1, L3179678, ABC, L2804249, ABC,  0.1177636, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5804802-1, M1069136, ABC, M1069135, ABC,  0.075176765, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5503546-1, M1125994, ABC, L2730149, ABC,  0.022160268, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6320329-1, L3048206, ABC, M1069156, ABC,  0.059893238, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6199560-1, L3216370, ABC, M1047312, ABC,  0.10088065, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6320367-3, M1047312, ABC, N1137960, ABC,  0.015169217, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5473449-1, L2936279, ABC, L3179678, ABC,  0.10170662, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5804791-1, M1069169, ABC, L3010556, ABC,  0.073355839, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5502532-1, 190-7361, ABC, M1089120, ABC,  0.005820451, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5683823-1, M1089119, ABC, M1089118, ABC,  0.078884003, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6108141-1, M1047521, ABC, D6108141-1_INT, ABC,  0.020307727, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5593239-1, L3235256, ABC, M1069136, ABC,  0.034893687, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6256144-1, L2688693, ABC, L2688692, ABC,  0.039178841, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6229835-1, M1047292, ABC, L2691954, ABC,  0.088604518, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6413567-2, M1069175, ABC, N1139541, ABC,  0.043586139, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6049825-1, M1047309, ABC, D6049825-1_INT, ABC,  0.004571141, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6077782-1, M1026774, ABC, M1026769, ABC,  0.11928172, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6350541-1, L3160107, ABC, L3104125, ABC,  0.10782787, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6138610-2, N1144665, ABC, M1047515, ABC,  0.02738852, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6256144-3, N1139547, ABC, L2688693, ABC,  0.085025858, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5623408-1, M1026347, ABC, M1026341, ABC,  0.050947837, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5714080-1, L3235255, ABC, M1047316, ABC,  0.0512085, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6413567-3, N1139541, ABC, D6413567-3_INT, ABC,  0.014966786, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6320367-2, N1137960, ABC, M1047309, ABC,  0.02515208, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5773040-2, M1047722, ABC, L2841621, ABC,  0.1078712, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6290215-1, M1026780, ABC, M1026774, ABC,  0.10707341, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5714056-3, M1026702, ABC, N1139551, ABC,  0.12873466, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5532754-1, M1026783, ABC, M1026780, ABC,  0.017916335, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5928744-1, P829965, ABC, L2936271, ABC,  0.027920017, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6256144-4, L2804249, ABC, N1139547, ABC,  0.071007562, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6347196-2, N1140819, ABC, M1026700, ABC,  0.026930613, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN5986935-1, M1047324, ABC, L2897780, ABC,  0.092596774, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6229807-1, L3197630, ABC, L3235256, ABC,  0.11970471, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6351524-1, L3011298, ABC, M1108295, ABC,  0.080155934, km,   3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL 
LN6411371-1, M1047649, ABC, L2973153, ABC,  0.02410888, km,   3PH_H-4_WPAL4_WPAL4_WPAL1/0_TPX
LN5532746-1, L2822866, ABC, M1047688, ABC,  0.032590878, km,   3PH_H-4_WPAL4_WPAL4_WPAL1/0_TPX
LN6505949-1, L2691952, ABC, M3036170, ABC,  0.002179793, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN5561437-1, L2952003, ABC, M1108381, ABC,  0.10724762, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN5501004-1, M1009784, ABC, M1009770, ABC,  0.060807616, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6017302-1, L2973162, ABC, M1026333, ABC,  0.053150629, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN5865248-1, M1047346, ABC, M1047345, ABC,  0.043145742, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6409778-1, L2898495, ABC, L2952003, ABC,  0.14066211, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN5472369-1, L3104134, ABC, M1047346, ABC,  0.046491295, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6017299-1, M1069184, ABC, M1069175, ABC,  0.063876516, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN5742836-1, M1009807, ABC, M1009805, ABC,  0.061650857, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6198013-2, M1026333, ABC, M1026331, ABC,  0.046120846, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6380818-1, M1026670, ABC, M1026662, ABC,  0.047828905, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6047584-1, M1047345, ABC, L2991922, ABC,  0.054627261, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6047583-1, L2991922, ABC, M1047339, ABC,  0.072207928, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6260020-1, M1026655, ABC, M1009651, ABC,  0.063088666, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN5591284-1, L2673319, ABC, M1026658, ABC,  0.03328692, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6047599-3, Q14414, ABC, L2691952, ABC,  0.079541892, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6198013-1, M1026331, ABC, M1026330, ABC,  0.056764184, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6505950-1, M3036170, ABC, M1026670, ABC,  0.016265057, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6350543-1, M1026662, ABC, L2673319, ABC,  0.14285375, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN5591284-2, M1026658, ABC, M1026655, ABC,  0.071404206, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN5621886-1, M1009805, ABC, M1009784, ABC,  0.2565009, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_ACSR 
LN6108136-1, M1069189, ABC, M1069184, ABC,  0.025828657, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6228311-1, P901945, ABC, M1125988, ABC,  0.00577516, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN5683816-1, M1047699, ABC, L2935554, ABC,  0.080211844, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6506311-4, L2767340, ABC, M3037449, ABC,  0.001937451, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6138614-1, M1069135, ABC, R18242, ABC,  0.070990263, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN5621864-1, M1125987, ABC, P901945, ABC,  0.004817317, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6318768-1, L2989566, ABC, M1108378, ABC,  0.086391936, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6380809-2, L2973153, ABC, N1136998, ABC,  0.010528536, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6077443-1, M1108378, ABC, M1108379, ABC,  0.010598569, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN5863823-1, M1089112, ABC, L3195356, ABC,  0.039290988, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN5472352-1, M1047688, ABC, M1047699, ABC,  0.068503439, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6169247-1, L2935554, ABC, M1047713, ABC,  0.043890133, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN5985378-1, M1026824, ABC, M1009807, ABC,  0.19013104, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6506310-2, M1125988, ABC, L2767340, ABC,  0.07221755, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN5683830-1, M1026341, ABC, L2973162, ABC,  0.068567464, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6380809-3, N1136998, ABC, M1047669, ABC,  0.066828063, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6411372-1, M1047672, ABC, L2822866, ABC,  0.038521621, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN5956464-1, M1047669, ABC, M1047672, ABC,  0.003394598, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN5501088-1, L3195356, ABC, M1069189, ABC,  0.072285373, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6411005-2, M1108380, ABC, L2898495, ABC,  0.08550545, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
LN6411005-1, M1108379, ABC, M1108380, ABC,  0.040149925, km,   3PH_H-4_WPAL4_WPAL4_WPAL4_WPAL 
L9407_48332_sw, D6023352-1_INT, ABC, E184626, ABC,  0.001, km,   3PH-Connector  
A8869_48332_sw, D6198039-1_INT, ABC, E206217, ABC,  0.001, km,   3PH-Connector  
V7173_48332_sw, D5534969-2_INT, ABC, E182729, ABC,  0.001, km,   3PH-Connector  
L5523_48332_sw, D6049825-1_INT, ABC, E182748, ABC,  0.001, km,   3PH-Connector  
A8645_48332_sw, D5958866-1_INT, ABC, E183493, ABC,  0.001, km,   3PH-Connector  
LN4641075_sw, D5860423-3_INT, ABC, Q14733, ABC,  0.001, km,   3PH-Connector  
XJ171_48332_sw, D5513564-1_INT, ABC, E192201, ABC,  0.001, km,   3PH-Connector  
LN4586093_sw, D6138608-3_INT, ABC, Q14404, ABC,  0.001, km,   3PH-Connector  
2002200004641085_sw, D5587291-3_INT, ABC, Q14734, ABC,  0.001, km,   3PH-Connector  
L5437_48332_sw, D5535139-1_INT, ABC, E183473, ABC,  0.001, km,   3PH-Connector  
2002200004991174_sw, D6290228-6_INT, ABC, Q16642, ABC,  0.001, km,   3PH-Connector  
V9111_48332_sw, D6108141-1_INT, ABC, E206209, ABC,  0.001, km,   3PH-Connector  
L9191_48332_sw, D5534970-1_INT, ABC, E182732, ABC,  0.001, km,   3PH-Connector  
A8735_48332_sw, D5710794-3_INT, ABC, E192860, ABC,  0.001, km,   3PH-Connector  
A8611_48332_sw, D5799561-2_INT, ABC, E193509, ABC,  0.001, km,   3PH-Connector  
LN3693186_sw, D5861005-2_INT, ABC, Q1301, ABC,  0.001, km,   3PH-Connector  
LN4625696_sw, D5926308-3_INT, ABC, Q14412, ABC,  0.001, km,   3PH-Connector  
V7041_48332_sw, D5867591-1_INT, ABC, E183472, ABC,  0.001, km,   3PH-Connector  
2002200004868472_sw, D5563942-4_INT, ABC, Q16483, ABC,  0.001, km,   3PH-Connector  
LN4625680_sw, D5956499-2_INT, ABC, Q14411, ABC,  0.001, km,   3PH-Connector  
LN4625876_sw, D5835167-6_INT, ABC, Q14414, ABC,  0.001, km,   3PH-Connector  
LN4625713_sw, D5502543-2_INT, ABC, Q14413, ABC,  0.001, km,   3PH-Connector  
LN293471_sw, D5686080-1_INT, ABC, F739845, ABC,  0.001, km,   3PH-Connector  
G9343_48332_sw, D5682346-3_INT, ABC, E206211, ABC,  0.001, km,   3PH-Connector  
LN8979346-4, 221-311583, A,N1139250, A,  0.00400896, km,   1P_1/0_AXNJ_DB 
LN8979371-1, M1069250, C,  L2690868, C,  0.020555058, km,   1P_1/0_AXNJ_DB 
LN81043320-2, L2763811, C,  L2763812, C,  0.10080987, km,   1P_1/0_AXNJ_DB 
LN8979370-2, L2915534, A,  193-48013, A, 0.16924944, km,   1P_1/0_AXNJ_DB 
LN81048110-3, L3214549, A,  M1108393, A,  0.008001868, km,   1P_1/0_AXNJ_DB 
LN8945012-1, M1026661, A,  P827530, A,   0.005074365, km,   1P_1/0_AXNJ_DB 
LN8939783-1, 221-240991, A,L3066817, A,  0.20128732, km,   1P_1/0_AXNJ_DB 
LN81048103-1, M1108412, B,  L3027670, B,  0.059855182, km,   1P_1/0_AXNJ_DB 
LN81043320-1, M1069328, C,  L2763811, C,  0.1919477, km,   1P_1/0_AXNJ_DB 
LN8979370-1, M1069248, A,  L2915534, A,  0.25091218, km,   1P_1/0_AXNJ_DB 
LN81048093-1, M1108393, A,  193-51796, A, 0.001797129, km,   1P_1/0_AXNJ_DB 
LN81353936-2, M3763623, C,  L3645811, C,  0.14305142, km,   1P_1/0_AXNJ_DB 
LN81048109-2, L3102286, B,  M1108433, B,  0.039047848, km,   1P_1/0_AXNJ_DB 
LN8961797-2, L2897554, C,  193-46661, C, 0.11998911, km,   1P_1/0_AXNJ_DB 
LN81354562-6, 221-559681, C,N1140526, C,  0.01327054, km,   1P_1/0_AXNJ_DB 
LN8979358-2, L2803194, C,  L3047073, C,  0.088334878, km,   1P_1/0_AXNJ_DB 
LN81048089-1, M1108413, A,  M1108460, A,  0.14609518, km,   1P_1/0_AXNJ_DB 
LN81048107-3, L3252336, B,  L3233413, B,  0.16973258, km,   1P_1/0_AXNJ_DB 
LN81048102-2, L3233412, A,  M1108413, A,  0.017262155, km,   1P_1/0_AXNJ_DB 
LN81048230-1, L2916625, B,  L3139598, B,  0.13929305, km,   1P_1/0_AXNJ_DB 
LN81354562-4, P1121282, C,  221-559681, C,0.003095484, km,   1P_1/0_AXNJ_DB 
LN8961799-1, P828360, C,   L2729206, C,  0.031497899, km,   1P_1/0_AXNJ_DB 
LN81048103-2, L3027670, B,  M1108459, B,  0.14404633, km,   1P_1/0_AXNJ_DB 
LN81048088-1, M1108378, A,  P904451, A,   0.007003397, km,   1P_1/0_AXNJ_DB 
LN81048106-1, M1108460, A,  L2821087, A,  0.042141579, km,   1P_1/0_AXNJ_DB 
LN81354564-8, L3645809, C,  L3645810, C,  0.14764027, km,   1P_1/0_AXNJ_DB 
LN8961758-1, M1047613, C,  P828359, C,   0.004524466, km,   1P_1/0_AXNJ_DB 
LN81048107-1, M1108459, B,  L2802480, B,  0.082614239, km,   1P_1/0_AXNJ_DB 
LN8961797-1, M1047633, C,  L2897554, C,  0.17983472, km,   1P_1/0_AXNJ_DB 
LN8976560-2, M1125943, C,  221-703009, C,0.005203969, km,   1P_1/0_AXNJ_DB 
LN81048100-2, L2708744, B,  L2690187, B,  0.095305584, km,   1P_1/0_AXNJ_DB 
LN81018878-3, N1138608, C,  L3232301, C,  0.084027016, km,   1P_1/0_AXNJ_DB 
LN8979344-3, 221-311595, C,N1139251, C,  0.003862832, km,   1P_1/0_AXNJ_DB 
LN8979358-1, M1069249, C,  L2803194, C,  0.059419316, km,   1P_1/0_AXNJ_DB 
LN8961800-3, L2766499, C,  M1047633, C,  0.008266058, km,   1P_1/0_AXNJ_DB 
LN81048100-6, P904452, B,   221-282818, B,0.006347379, km,   1P_1/0_AXNJ_DB 
LN8939784-1, 221-240988, C,L3141411, C,  0.041081206, km,   1P_1/0_AXNJ_DB 
LN81354564-4, P1121283, C,  221-559682, C,0.003234456, km,   1P_1/0_AXNJ_DB 
LN8979344-1, P850400, C,   221-311595, C,0.007008599, km,   1P_1/0_AXNJ_DB 
LN8979344-4, N1139251, C,  M1069249, C,  0.17456014, km,   1P_1/0_AXNJ_DB 
LN8961799-2, L2729206, C,  L2729207, C,  0.29308333, km,   1P_1/0_AXNJ_DB 
LN81048106-2, L2821087, A,  L2990098, A,  0.098222735, km,   1P_1/0_AXNJ_DB 
LN8945013-1, P827530, A,   221-240991, A,0.006820492, km,   1P_1/0_AXNJ_DB 
LN81043320-3, L2763812, C,  L2951995, C,  0.18522105, km,   1P_1/0_AXNJ_DB 
LN81048109-1, M1108464, B,  L3102286, B,  0.10745557, km,   1P_1/0_AXNJ_DB 
LN81018877-2, P873800, C,   221-306686, C,0.004789778, km,   1P_1/0_AXNJ_DB 
LN81353936-3, L3645811, C,  193-103041, C,0.005712707, km,   1P_1/0_AXNJ_DB 
LN81018877-1, 221-306686, C,L2970258, C,  0.034412551, km,   1P_1/0_AXNJ_DB 
LN81048108-2, L3027671, A,  M1108423, A,  0.13373712, km,   1P_1/0_AXNJ_DB 
LN81048102-5, P904451, A,   221-282819, A,0.005501021, km,   1P_1/0_AXNJ_DB 
LN81048090-1, M1108433, B,  228-1048090-1_INT, B, 0.13353714, km,   1P_1/0_AXNJ_DB 
LN8961800-1, P828359, C,   L2878848, C,  0.17750716, km,   1P_1/0_AXNJ_DB 
LN81048102-4, N1230122, A,  L3233412, A,  0.1269857, km,   1P_1/0_AXNJ_DB 
LN8979345-1, M1069284, A,  P850401, A,   0.009197184, km,   1P_1/0_AXNJ_DB 
LN8968081-1, M1047371, B,  P841985, B,   0.002459781, km,   1P_1/0_AXNJ_DB 
LN8968082-1, P841985, B,   221-306687, B,0.001713755, km,   1P_1/0_AXNJ_DB 
LN81353934-4, L3645812, C,  228-1353934-4_INT, C, 0.29687639, km,   1P_1/0_AXNJ_DB 
LN8979346-5, N1139250, A,  L2821770, A,  0.13165156, km,   1P_1/0_AXNJ_DB 
LN81048106-3, L2990098, A,  M1108462, A,  0.049303938, km,   1P_1/0_AXNJ_DB 
LN81048100-7, 221-282818, B,N1230123, B,  0.006488617, km,   1P_1/0_AXNJ_DB 
LN81048107-2, L2802480, B,  L3252336, B,  0.080399903, km,   1P_1/0_AXNJ_DB 
LN8979346-3, L2821770, A,  M1069247, A,  0.075127946, km,   1P_1/0_AXNJ_DB 
LN8961800-2, L2878848, C,  L2766499, C,  0.1444999, km,   1P_1/0_AXNJ_DB 
LN8945010-1, M1009655, C,  P827528, C,   0.007086073, km,   1P_1/0_AXNJ_DB 
LN81018876-1, M1069312, C,  P873801, C,   0.007044674, km,   1P_1/0_AXNJ_DB 
